Entry Name,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Barcode/QR1-Data,Barcode/QR1-Type,Barcode/QR2-Data,Barcode/QR2-Type,WO Date,Purchase date OverRide,Purchase Order Number,Work Order Number,Model/Part Number,Bar Code,Bar Code-BarcodeType,Sell price
"Balance, 32/30",S73XAT0584,,,,,,,,39,units,,5.25,204.75,40-02650,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_jKCZcz71jCIc7qpQ6ipVynTSHBxfISSZkRHsLbvaoATysVpxloG_pg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0584,com.sortly.sortlyLabel,,,,,,,,,,
"Balance, 33/30",S73XAT0750,,,,,,,,32,units,,0,0,40-03500,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 33/40",S73XAT0600,,,,,,,,0,units,,5.75,0,40-02800,SUPER,<<Inventory>>,,,,,,,,,,,,,sy://o2/l_qrcode_us/S73XAT0600,com.sortly.sortlyLabel,,,,,,,,,,10.35
"Balance, 35/20",S73XAT0749,,,,,,,,18,units,,0,0,40-03100,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 35/30",S73XAT0688,,,,,,,,0,units,,0,0,40-03200,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
Battery AA 4 Pack,S73XAT0685,,,,,,,,0,units,,2.79,0,40-03650,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_YFngWRmyoEPtqNnE8PuTegSp8fBLIBcKiV0Y-mgJg8XEHNiGC-cUfA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0685,com.sortly.sortlyLabel,1.00398E+13,org.ansi.Interleaved2of5,,,,,,,,
Battery AA Duracell 2 pack,S73XAT0588,,,,,,,,101,units,,2.79,281.79,40-03600,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,4.91
Battery AAA 4 Pack,S73XAT0684,,,,,,,,243,units,,2.79,677.97,40-03700,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_GlGlN_aQShPOmcwzhKA-I5kFP1rPDPYiQ1P_A5GMro1o38gZq3pHLw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0684,com.sortly.sortlyLabel,39800099099,org.gs1.EAN-13,,,,,,,,3.77
"Battery, 9 volt",S73XAT0591,,,,,,,,3,units,,2.79,8.37,40-03800,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vSuwV-TCZuEY1z6T2S9TZRT5Fh-EAe-2Bk-bKbHDiRsJ_wXIwMyhsw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0591,com.sortly.sortlyLabel,1.00398E+13,org.ansi.Interleaved2of5,,,,,,,,5.27
"Bleach, 1 gallon",S73XAT0589,,,,,,,,199,units,18,3.37,670.63,40-03850,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_9n-eWX5O-jbNnBy5c9P1zoAg8rHuFgVYMG7zEoLgNP4HJ3aGnJ5RLA==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0589,com.sortly.sortlyLabel,22609000649,org.gs1.EAN-13,,,,,,1.00226E+13,org.ansi.Interleaved2of5,4.89
"Bleach, 1 gallon",S73XAT0589,,,,,,,,168,units,,3.37,566.16,40-03850,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_XOZz1a3t06QTGRos1Si9wfmpYd88-MaZSfgQ1PUoJeG507YGpbrrog==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0589,com.sortly.sortlyLabel,22609000649,org.gs1.EAN-13,,,,,,,,
"Broom, Angle",S73XAT0605,,,,,,,,21,units,,5.56,116.76,40-04000,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_NKHjVHntKNZPISBDs7pkjy_qzkv2okaAyjD4Ygmy5dGqLoYWtHt_rg==,https://lnk.sortly.co/v2/downloads/photo/v2_WbvRi6JmtmA3jzuqhgWd4KL2i5BxqGu1Dv3VOFCvso9cBK0OitNNbA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0605,com.sortly.sortlyLabel,8.14473E+11,org.gs1.EAN-13,,,,,,,,9.13
"Broom, Push 18""",S73XAT0613,,,,,,,,0,units,,7.5,0,40-04100,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,
"Buffing Machine Pads, 18"" Black",S73XAT0606,,,,,,,,16,units,,4.06,64.96,40-04152,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_hyVWEWXN_J-x-ItJjEFXE_vmGhIpIoSFE2JwLpm1xe5JRZm7Zwu8vQ==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0606,com.sortly.sortlyLabel,,,,,,,,,,5.48
"Buffing Machine Pads, 18"" Red",S73XAT0602,,,,,,,,5,units,,4.06,20.3,40-04151,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_HCqFC5U5yfL1wEm5FquzmgYhrP3wcfP81b_EZZuIWzw1F9Iqkkd3CQ==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0602,com.sortly.sortlyLabel,,,,,,,,,,
"Bulbs, 2 ft fluors. 20 watt",S73XAT0464,,,,,,,,12,units,,2.52,30.24,20-00100,ELECTRIC,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2__7W46PmAmO5I89Zy66OPkS-c4xm3ziqCIYewISmeSECYcsTzCPuTWg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0464,com.sortly.sortlyLabel,1.06537E+13,org.ansi.Interleaved2of5,,,,,,,,3.4
"Bulbs, 32 watt circl. line",S73XAT0467,,,,,,,,75,units,,1.95,146.25,20-00200,"ELECTRIC, UOM",<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_v80vohaevNo1cW6tS4edK3ww9MdQ0yXLWw7s57tnyNF3XieUkRTQOA==,https://lnk.sortly.co/v2/downloads/photo/v2_zA4UQOQ-cIxBoICy5IPcDXZ_o4fSeFe4M9xp8nET22CZmaL4jOVtwg==,,,,,,,sy://o2/x_qrcode_us/S73XAT0467,com.sortly.sortlyLabel,1.06537E+13,org.ansi.Interleaved2of5,,,,,,75877000323,org.gs1.EAN-13,4.5
"Bulbs, 4 ft fluors. 40 watt",S73XAT0692,,,,,,,,45,units,,1.85,83.25,20-00300,ELECTRIC,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_dwCBDIVLOioPwSb1pw6HC8-Kkd2ac2rxJggeCblr_JA7zZq45EuSuw==,https://lnk.sortly.co/v2/downloads/photo/v2_TRohL_c86KpDKbhZPHQBPxQJ2xwcWGx9ZEDPXsyHR1UwIqwb7UEEHg==,,,,,,,,,6.53703E+11,org.gs1.EAN-13,,,,,,1.06537E+13,org.ansi.Interleaved2of5,2.95
"Bulbs, 60 watt frost white",S73XAT0453,,,,,,,,234,units,,0.45,105.3,20-00400,"ELECTRIC, UOM",<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Tcdd1cL_bm2HCiLYRXmnKeWBVX1LNKSAqycmpBC8EuoE5YhsEK0BAA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0453,com.sortly.sortlyLabel,6.53704E+11,org.gs1.EAN-13,,,,,,1.06537E+13,org.ansi.Interleaved2of5,1.25
"Bulbs, 75 watt frost white",S73XAT0457,,,,,,,,44,units,,0.45,19.8,20-00500,ELECTRIC,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_jJBsl8YM_xxjxtKdFmX7aBRMZhv2CIiHvYN_NPjIFpJ1UVRELUaOhQ==,https://lnk.sortly.co/v2/downloads/photo/v2_PZFkXFeydO57M5Ps5SSpP0hg8Nb_YHqHsCFrHzY9zi9HgJhICwkegw==,,,,,,,sy://o2/x_qrcode_us/S73XAT0457,com.sortly.sortlyLabel,6.53704E+11,org.gs1.EAN-13,,,,,,1.06537E+13,org.ansi.Interleaved2of5,0.65
"Bulbs,22 watt circl line",S73XAT0468,,,,,,,,93,units,,2.99,278.07,20-00150,"ELECTRIC, UOM",<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_MucCcH7WqGKRgd0UhnuI4WveZQud4umEFoEASUh-T3nU65HUzInpCw==,https://lnk.sortly.co/v2/downloads/photo/v2_UoFYyopBMa18M9StskgRJSQ30MD4vLdtJuTDndVenKsN9lhjDBj9jA==,,,,,,,sy://o2/x_qrcode_us/S73XAT0468,com.sortly.sortlyLabel,75877000224,org.gs1.EAN-13,,,,,,6.53703E+11,org.gs1.EAN-13,
Calcium Chloride Pellets 50lbs,S73XAT0604,,,,,,,,54,units,,17.95,969.3,40-04175,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_sXQJ3qnqFoQJkeT7OjdUu4qI16DzMOi6H3-A_yiD0Af9Zj21e95fBw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0604,com.sortly.sortlyLabel,http://vaporizericemelt.com,org.iso.QRCode,,,,,,,,28.72
Carbon Monoxide Detectors,S73XAT0610,,,,,,,,107,units,,18.99,2031.93,40-04224,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_CAwWr1e0CKUUfSkrLf2-d7aaF69gBaBU-L2_0PR3kYUeEpLtVGx2Zg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0610,com.sortly.sortlyLabel,29054003928,org.gs1.EAN-13,,,,,,,,
