WONumber,JObStatus,Category,CompleteDate,CallDate,SchedDate,BatchID,BriefDesc,ExpenseType,yardiCreateDate,yardiUpdatedDate,Date1,Date2
473117,"Canceled","Repairs",,"2023-07-19 09:43:22",,0,"501-4N-paint bathroom-kitchen                ","Payables","2023-07-19 00:00:00","2024-09-13 07:48:35",,"2025-05-01 10:44:35"
473216,"Canceled","Repairs",,"2023-07-20 10:47:57","12/15/2023 10:47:00",0,"890-705-3 YEAR PAINT                         ","Payables","2023-07-20 00:00:00","2024-09-11 09:37:05",,"2025-05-01 10:44:35"
473338,"Canceled","Supplies",,"2023-07-21 09:55:17","07/21/2023 09:55:00",0,"192-314-vacant countertop                    ","Payables","2023-07-21 00:00:00","2024-04-29 15:27:35",,"2025-05-01 10:44:35"
473408,"Work Completed","APH-Plumbing","2023-07-21 13:11:00","2023-07-21 15:11:38","07/21/2023 15:13:00",1600031628,"3532-4b-PLUMBING                             ","Payables","2023-07-21 00:00:00","2024-04-30 13:14:58",,"2025-05-01 10:44:35"
473686,"Work Completed","Repairs","2024-06-17 12:03:00","2023-07-26 12:03:02","07/26/2023 12:03:00",1600031951,"2020-103- Water/Fire Damage repairs          ","Payables","2023-07-26 00:00:00","2024-07-01 16:09:53",,"2025-05-01 10:44:35"
473953,"Work Completed","APH-Plumbing","2023-07-31 13:20:00","2023-07-31 15:32:24","07/31/2023 15:32:00",1600031628,"3540-3F-SHOWER BODY CONTROL                  ","Payables","2023-07-31 00:00:00","2024-04-30 13:20:54",,"2025-05-01 10:44:35"
474073,"Canceled","Repairs",,"2023-08-02 10:19:15",,0,"455-1A-3 year paint-hpd viol                 ","Payables","2023-08-02 00:00:00","2024-09-13 07:48:13",,"2025-05-01 10:44:35"
474169,"Canceled","Repairs",,"2023-08-03 12:09:14","08/03/2023 12:09:00",0,"500-501-3 YEAR PAINT                         ","Payables","2023-08-03 00:00:00","2024-09-13 07:47:49",,"2025-05-01 10:44:35"
474316,"Work Completed","Repairs","2023-08-09 13:15:00","2023-08-07 11:24:00","08/09/2023 11:24:00",1600031227,"1054-3C-POST PLUMBING BR                     ","Payables","2023-08-07 00:00:00","2024-03-01 10:13:53",,"2025-05-01 10:44:35"
474458,"Canceled","Repairs",,"2023-08-09 08:45:28","08/09/2023 08:45:00",0,"3505-5C-POST-PLUMBING                        ","Payables","2023-08-09 00:00:00","2024-08-15 13:14:16",,"2025-05-01 10:44:35"
474483,"Work Completed","APH-Plumbing",,"2023-08-09 10:48:43","08/09/2023 10:48:00",1600031628,"3544-BST-DRAIN BACKUP                        ","Payables","2023-08-09 00:00:00","2024-04-30 13:43:47",,"2025-05-01 10:44:35"
474937,"Work Completed","APH-Plumbing","2023-08-16 11:24:00","2023-08-16 12:06:13","08/16/2023 12:06:00",1600031628,"1063-BLDG DRAINAGE                           ","Payables","2023-08-16 00:00:00","2024-04-30 11:27:12",,"2025-05-01 10:44:35"
474999,"Canceled","Repairs",,"2023-08-17 10:28:46","08/17/2023 10:28:00",0,"3012-1H-floor repair                         ","Payables","2023-08-17 00:00:00","2024-06-21 13:51:41",,"2025-05-01 10:44:35"
475103,"Canceled","APH-Plumbing",,"2023-08-18 11:56:44","08/18/2023 11:56:00",0,"1861-3A-PLUMBING                             ","Payables","2023-08-18 00:00:00","2024-04-30 13:24:38",,"2025-05-01 10:44:35"
475380,"Work Completed","Repairs","2024-12-21 14:43:00","2023-08-23 12:03:56","08/23/2023 12:03:00",1600032826,"Grant TPT 14                                 ","Payables","2023-08-23 00:00:00","2025-01-21 08:27:38",,"2025-05-01 10:44:35"
475645,"Work Completed","Repairs","2024-04-18 11:27:00","2023-08-29 09:31:07","04/18/2024 11:27:19",1600031626,"3524/5D/vac/REPAIRS                          ","Payables","2023-08-29 00:00:00","2024-04-18 11:27:19",,"2025-05-01 10:44:35"
475658,"Canceled","APH-Plumbing","2023-09-01 13:38:00","2023-08-29 10:09:38","09/01/2023 10:09:00",0,"3520-3G-PLUMBING                             ","Payables","2023-08-29 00:00:00","2024-05-01 12:04:13",,"2025-05-01 10:44:35"
475986,"Work Completed","APH-Plumbing","2023-09-05 11:03:00","2023-09-05 07:29:37","04/30/2024 11:04:51",1600031628,"1051 - Bldg - House Drains                   ","Payables","2023-09-05 00:00:00","2024-04-30 11:04:51",,"2025-05-01 10:44:35"
476191,"Work Completed","Repairs","2024-03-27 14:48:00","2023-09-07 09:32:40","09/07/2023 09:32:00",1600031626,"890-107- 3 YEAR PAINT                        ","Payables","2023-09-07 00:00:00","2024-04-17 14:48:49",,"2025-05-01 10:44:35"
476246,"Canceled","Repairs",,"2023-09-07 12:00:57","09/13/2023 12:00:00",0,"3651-1-3B-3Y PAINT(CS)                       ","Payables","2023-09-07 00:00:00","2024-04-19 13:12:01",,"2025-05-01 10:44:35"
476356,"Work Completed","Repairs","2024-04-09 16:36:00","2023-09-08 12:04:13","04/09/2024 12:04:00",1600031626,"5037-2-04-3YR PAINT                          ","Payables","2023-09-08 00:00:00","2024-05-01 16:37:12",,"2025-05-01 10:44:35"
476579,"Canceled","Repairs",,"2023-09-12 12:42:32","09/12/2023 12:42:00",0,"3018-bldg-water meter room pump              ","Payables","2023-09-12 00:00:00","2024-06-21 13:36:47",,"2025-05-01 10:44:35"
476804,"Canceled","Repairs",,"2023-09-14 15:54:21","09/14/2023 15:54:00",0,"637-3E HALLWAY FLOOR REPAIR                  ","Payables","2023-09-14 00:00:00","2024-04-01 15:58:19",,"2025-05-01 10:44:35"
476999,"Canceled","Repairs",,"2023-09-18 15:17:53","09/28/2023 15:17:00",0,"3520-3A-TILE REPAIR                          ","Payables","2023-09-18 00:00:00","2024-03-13 16:58:28",,"2025-05-01 10:44:35"
477025,"Work Completed","Repairs","2024-02-28 16:50:00","2023-09-19 08:53:08","02/26/2024 16:50:00",1600031671,"1055/1R/VAC/REPAIRS                          ","Payables","2023-09-19 00:00:00","2024-05-16 14:54:40",,"2025-05-01 10:44:35"
477061,"Canceled","APH-Plumbing",,"2023-09-19 10:46:56","09/19/2023 10:46:00",0,"3528-3E-LOOSE TOILET                         ","Payables","2023-09-19 00:00:00","2024-04-30 11:06:15",,"2025-05-01 10:44:35"
477179,"Call","Supplies",,"2023-09-20 10:57:13",,0,"440-bldg-paint for sidewalk                  ","Payables","2023-09-20 00:00:00","2024-09-13 08:06:14",,"2025-05-01 10:44:35"
477264,"Work Completed","APH-Plumbing","2023-09-21 11:07:00","2023-09-21 09:51:56","09/21/2023 09:51:00",1600031628,"1264-3A-PLUMBING                             ","Payables","2023-09-21 00:00:00","2024-04-30 11:09:04",,"2025-05-01 10:44:35"
477331,"Work Completed","Repairs","2024-02-20 11:58:00","2023-09-22 08:37:49","12/04/2023 13:38:00",1600031271,"1182/C/VAC/REPAIRS                           ","Payables","2023-09-22 00:00:00","2024-03-19 12:01:34",,"2025-05-01 10:44:35"
477416,"Canceled","APH-Plumbing",,"2023-09-25 09:24:47",,0,"1029 - 1-A40 - Ba Ceiling Leak               ","Payables","2023-09-25 00:00:00","2024-04-30 10:50:56",,"2025-05-01 10:44:35"
477593,"Work Completed","Repairs","2024-04-12 16:39:00","2023-09-27 08:30:09","04/12/2024 12:51:00",1600031626,"1053 - 4D - Post plbg repairs                ","Payables","2023-09-27 00:00:00","2024-05-01 16:40:29",,"2025-05-01 10:44:35"
477726,"Work Completed","Repairs","2024-05-06 13:04:00","2023-09-28 11:31:01","05/06/2024 11:31:00",1600031837,"1055 -2W -Bathroom ceiling HPD VIOL          ","Payables","2023-09-28 00:00:00","2024-06-03 13:05:40",,"2025-05-01 10:44:35"
477910,"Call","Repairs",,"2023-10-03 08:58:32",,0,"3519/3A/bathroom                             ","Payables","2023-10-03 00:00:00","2024-08-20 09:55:49",,"2025-05-01 10:44:35"
477983,"Canceled","APH-Plumbing",,"2023-10-03 15:39:47","10/03/2023 15:39:00",0,"1887BLDG-MAIN SEWER STOPPAGE                 ","Payables","2023-10-03 00:00:00","2024-04-30 10:46:32",,"2025-05-01 10:44:35"
478339,"Work Completed","Supplies","2024-01-30 12:04:00","2023-10-10 09:53:22","02/01/2024 12:04:00",1600031272,"1027/4G/VAC/CABINETS                         ","Payables","2023-10-10 00:00:00","2024-03-14 14:01:08",,"2025-05-01 10:44:35"
478368,"Work Completed","APH-Plumbing","2023-10-12 11:12:00","2023-10-10 11:40:17","10/10/2023 11:40:00",1600031628,"3544-1F LIVING ROOM RADIATOR VALVE           ","Payables","2023-10-10 00:00:00","2024-04-30 11:13:27",,"2025-05-01 10:44:35"
478406,"Work Completed","Repairs","2024-08-14 08:56:00","2023-10-10 12:48:08","08/14/2024 12:48:00",1600032358,"1868-1A-CS-3 YEAR PAINT                      ","Payables","2023-10-10 00:00:00","2024-09-17 08:56:58",,"2025-05-01 10:44:35"
478575,"Work Completed","Repairs","2024-03-27 12:18:00","2023-10-12 09:12:55","03/27/2024 12:55:00",1600031452,"1022 - 5B - Violation Ba floor               ","Payables","2023-10-12 00:00:00","2024-04-08 12:26:01",,"2025-05-01 10:44:35"
479039,"Work Completed","Repairs","2024-02-20 16:15:00","2023-10-18 15:57:03","02/20/2024 16:08:00",1600031227,"3513-3B                                      ","Payables","2023-10-18 00:00:00","2024-03-07 16:18:56",,"2025-05-01 10:44:35"
479055,"Call","Repairs",,"2023-10-19 09:13:37",,0,"3651/4B/VAC/REPAIRS                          ","Payables","2023-10-19 00:00:00","2024-04-09 09:30:11",,"2025-05-01 10:44:35"
479063,"Work Completed","Repairs","2024-07-24 19:24:00","2023-10-19 09:53:52","07/23/2024 11:49:00",1600032109,"3523-2A-kitchen floor repair-new             ","Payables","2023-10-19 00:00:00","2024-07-31 19:26:16",,"2025-05-01 10:44:35"
479192,"Work Completed","Repairs","2024-03-08 16:38:00","2023-10-20 12:01:05","03/08/2024 13:11:00",1600031345,"1082-BATH REPAIRS 10/20/23                   ","Payables","2023-10-20 00:00:00","2024-03-20 12:19:50",,"2025-05-01 10:44:35"
479467,"Work Completed","APH-Plumbing","2023-10-25 14:30:00","2023-10-25 09:37:28","04/30/2024 14:34:33",1600031628,"250 - 5G - Radiator Valve Leaking            ","Payables","2023-10-25 00:00:00","2024-04-30 14:34:33",,"2025-05-01 10:44:35"
479538,"Work Completed","APH-Boiler","2024-04-16 15:40:00","2023-10-25 15:55:52","10/25/2023 15:55:00",1600031629,"1701 - BOILER CLEANING & OVERHAUL            ","Payables","2023-10-25 00:00:00","2024-05-01 12:22:06",,"2025-05-01 10:44:35"
479540,"Work Completed","APH-Boiler","2024-03-30 10:59:00","2023-10-25 15:57:28","10/25/2023 15:57:00",1600031348,"1192 - BOILER CLEANING & OVERHAUL            ","Payables","2023-10-25 00:00:00","2024-03-30 11:03:13",,"2025-05-01 10:44:35"
479542,"Work Completed","APH-Boiler",,"2023-10-25 15:58:38","10/25/2023 15:58:00",1600031455,"1702 - BOILER CLEANING & OVERHAUL            ","Payables","2023-10-25 00:00:00","2024-04-16 14:59:28",,"2025-05-01 10:44:35"
479543,"Work Completed","APH-Boiler",,"2023-10-25 15:59:20","10/25/2023 15:59:00",1600031455,"1704 - BOILER CLEANING & OVERHAUL            ","Payables","2023-10-25 00:00:00","2024-04-16 13:51:47",,"2025-05-01 10:44:35"
479544,"Work Completed","APH-Boiler","2024-04-08 13:17:00","2023-10-25 16:02:38","10/25/2023 16:02:00",1600031674,"1868 - BOILER CLEANING & OVERHAUL            ","Payables","2023-10-25 00:00:00","2024-05-17 13:19:33",,"2025-05-01 10:44:35"
479783,"Work Completed","APH-Plumbing",,"2023-10-30 08:29:32","10/30/2023 08:29:00",1600031628,"890-707-CONCEALED LEAK                       ","Payables","2023-10-30 00:00:00","2024-04-30 14:41:45",,"2025-05-01 10:44:35"
479801,"Call","APH-Plumbing",,"2023-10-30 10:05:28",,0,"1861-5B-VIOL PLUMBING                        ","Payables","2023-10-30 00:00:00","2024-03-15 12:26:29",,"2025-05-01 10:44:35"
479827,"Work Completed","APH-Plumbing","2024-05-06 19:37:00","2023-10-30 11:35:37","10/30/2023 11:35:00",1600031839,"3544-1b-radiator leak                        ","Payables","2023-10-30 00:00:00","2024-06-07 19:38:13",,"2025-05-01 10:44:35"
479912,"Canceled","Repairs",,"2023-10-31 11:23:44","10/31/2023 11:23:00",0,"3507-4B-3 YEAR PAINT                         ","Payables","2023-10-31 00:00:00","2024-08-30 11:47:17",,"2025-05-01 10:44:35"
479924,"Work Completed","Repairs","2024-01-23 14:17:00","2023-10-31 11:56:38","01/24/2024 13:35:00",1600031345,"3655-REPAIRS                                 ","Payables","2023-10-31 00:00:00","2024-03-20 12:20:23",,"2025-05-01 10:44:35"
479934,"Canceled","Repairs",,"2023-10-31 12:30:40","10/31/2023 12:30:00",0,"5037-2-03-3YR PAINT JOB                      ","Payables","2023-10-31 00:00:00","2024-08-02 12:31:02",,"2025-05-01 10:44:35"
479956,"Work Completed","Repairs","2024-06-07 11:05:00","2023-10-31 15:31:07","06/07/2024 15:31:00",1600031951,"3651-3652-2B- 3 YEAR PAINT                   ","Payables","2023-10-31 00:00:00","2024-07-02 11:05:52",,"2025-05-01 10:44:35"
480009,"Work Completed","APH-Plumbing",,"2023-11-01 10:41:11","11/01/2023 10:41:00",1600031628,"1182-VAC-52-PLUMBING                         ","Payables","2023-11-01 00:00:00","2024-04-30 14:51:53",,"2025-05-01 10:44:35"
480087,"Canceled","Repairs",,"2023-11-02 10:05:43",,0,"1440-9G-fire repairs                         ","Payables","2023-11-02 00:00:00","2024-03-21 09:10:44",,"2025-05-01 10:44:35"
480088,"Work Completed","APH-Plumbing",,"2023-11-02 10:06:33","11/02/2023 10:06:00",1600031628,"1371-3E TO 3D LEAK(DRAIN LEAK)               ","Payables","2023-11-02 00:00:00","2024-04-30 14:56:47",,"2025-05-01 10:44:35"
480181,"Work Completed","Repairs","2024-08-27 10:58:00","2023-11-03 09:42:19","11/15/2023 09:42:00",1600032358,"7001-402-FLOOR                               ","Payables","2023-11-03 00:00:00","2024-09-17 10:59:59",,"2025-05-01 10:44:35"
480225,"Work Completed","APH-Boiler",,"2023-11-03 11:34:50",,1600031629,"1028-BOILER                                  ","Payables","2023-11-03 00:00:00","2024-04-30 15:03:18",,"2025-05-01 10:44:35"
480269,"Canceled","APH-Plumbing","2023-11-26 10:11:00","2023-11-06 07:19:18","11/26/2023 10:12:00",0,"1029 - 3-1B - ceiling n wall leaks           ","Payables","2023-11-06 00:00:00","2024-04-30 15:06:40",,"2025-05-01 10:44:35"
480519,"Work Completed","Repairs","2024-01-29 12:27:00","2023-11-08 10:52:27","11/08/2023 10:52:00",1600031626,"1440-9G-Fire/WaterDamageRepairs              ","Payables","2023-11-08 00:00:00","2024-04-17 14:46:45",,"2025-05-01 10:44:35"
480553,"Canceled","Repairs",,"2023-11-08 14:52:07",,0,"3004-6A Bathroom Ceiling                     ","Payables","2023-11-08 00:00:00","2024-06-21 13:39:07",,"2025-05-01 10:44:35"
480819,"Canceled","Repairs",,"2023-11-10 14:29:12",,0,"3004-2E 3 Yr Paint Job                       ","Payables","2023-11-10 00:00:00","2024-06-21 13:37:37",,"2025-05-01 10:44:35"
480942,"Work Completed","Repairs","2024-02-13 15:58:00","2023-11-14 08:47:58","03/07/2024 15:59:18",1600031227,"1028/3B/VAC/REPAIRS                          ","Payables","2023-11-14 00:00:00","2024-03-07 15:59:18",,"2025-05-01 10:44:35"
480945,"Work Completed","Supplies","2024-01-30 12:01:00","2023-11-14 09:09:46","02/01/2024 12:01:00",1600031272,"1028/3B/VAC/CABINETS                         ","Payables","2023-11-14 00:00:00","2024-03-11 11:09:54",,"2025-05-01 10:44:35"
481001,"Scheduled","Repairs",,"2023-11-14 11:34:01","11/14/2023 11:34:00",0,"1096-2C-REPAIRS                              ","Payables","2023-11-14 00:00:00","2024-11-20 12:15:07",,"2025-05-01 10:44:35"
481054,"Work Completed","APH-Plumbing",,"2023-11-14 14:52:50","11/14/2023 14:52:00",1600031628,"1096-3C-RADIATOR LEAK                        ","Payables","2023-11-14 00:00:00","2024-04-30 15:08:49",,"2025-05-01 10:44:35"
481420,"Work Completed","Repairs","2024-02-07 11:59:00","2023-11-20 10:21:16","12/18/2023 15:46:00",1600031227,"1028/3C/VAC/REPAIRS                          ","Payables","2023-11-20 00:00:00","2024-03-07 16:04:31",,"2025-05-01 10:44:35"
481435,"Work Completed","Supplies","2024-01-16 14:17:00","2023-11-20 10:45:10","12/18/2023 14:06:00",1600032541,"1028/3C/VAC/CABINETS                         ","Cabinets Only","2023-11-20 00:00:00","2024-10-25 10:52:50",,"2025-05-01 10:44:35"
481545,"Work Completed","APH-Boiler",,"2023-11-21 10:21:47","11/21/2023 10:21:00",1600031232,"3514 - BOILER WATER METER                    ","Payables","2023-11-21 00:00:00","2024-03-07 14:13:57",,"2025-05-01 10:44:35"
481928,"Work Completed","Repairs","2025-01-06 16:08:00","2023-11-29 08:17:27","01/06/2025 08:17:00",1600033019,"1039-4C-KITCHEN FLOOR                        ","Payables","2023-11-29 00:00:00","2025-01-31 16:11:11",,"2025-05-01 10:44:35"
481961,"Work Completed","APH-Plumbing","2023-11-29 15:13:00","2023-11-29 11:54:38","11/29/2023 11:54:00",1600031628,"3527-1A-TRIP LEVER                           ","Payables","2023-11-29 00:00:00","2024-04-30 15:33:23",,"2025-05-01 10:44:35"
482048,"Call","Repairs",,"2023-11-30 09:56:36",,0,"440-6F-3 year paint                          ","Payables","2023-11-30 00:00:00","2024-09-13 08:37:43",,"2025-05-01 10:44:35"
482137,"Canceled","Repairs",,"2023-11-30 16:47:15","11/30/2023 16:47:00",0,"616-3D HPD/FLOOR CXLD                        ","Payables","2023-11-30 00:00:00","2024-06-17 11:00:42",,"2025-05-01 10:44:35"
482147,"Canceled","Repairs",,"2023-11-30 18:02:13","11/30/2023 18:02:00",0,"616-6A HPD/FLOOR REPLACEMENT                 ","Payables","2023-11-30 00:00:00","2024-04-01 16:32:40",,"2025-05-01 10:44:35"
482148,"Canceled","Repairs",,"2023-11-30 18:08:26","11/30/2023 18:08:00",0,"616-6H HPD/FLOOR REPLACEMENT                 ","Payables","2023-11-30 00:00:00","2024-04-01 16:35:15",,"2025-05-01 10:44:35"
482211,"Work Completed","Repairs","2024-03-08 15:46:00","2023-12-01 10:46:09","03/08/2024 10:46:00",1600031271,"3519-2C-INSTALL CABINETS                     ","Payables","2023-12-01 00:00:00","2024-03-13 15:46:44",,"2025-05-01 10:44:35"
482307,"Work Completed","Repairs","2024-02-28 15:51:00","2023-12-04 08:18:00","12/26/2023 16:29:00",1600031227,"1088/3J/VAC/REPAIRS                          ","Payables","2023-12-04 00:00:00","2024-03-07 15:56:42",,"2025-05-01 10:44:35"
482420,"Work Completed","Repairs","2024-01-13 11:49:00","2023-12-05 08:30:00","01/12/2024 09:54:00",1600031626,"3504/3A/VAC/REPAIRS                          ","Payables","2023-12-05 00:00:00","2024-04-18 10:16:22",,"2025-05-01 10:44:35"
482433,"Work Completed","APH-Boiler","2024-04-17 13:53:00","2023-12-05 09:29:15","04/17/2024 13:53:00",1600031455,"1084 Ogden Avenue                            ","Payables","2023-12-05 00:00:00","2024-04-17 13:56:14",,"2025-05-01 10:44:35"
482475,"Work Completed","Repairs","2024-04-10 16:17:00","2023-12-05 11:16:30","04/10/2024 11:16:00",1600031626,"1976-206-PAINT 2 BEDROOMS                    ","Payables","2023-12-05 00:00:00","2024-05-01 16:18:08",,"2025-05-01 10:44:35"
482634,"Work Completed","Repairs","2024-03-09 10:58:00","2023-12-07 06:59:16","07/11/2024 10:59:41",1600031951,"1082/1G/VAC/REPAIRS                          ","Payables","2023-12-07 00:00:00","2024-07-11 10:59:41",,"2025-05-01 10:44:35"
482640,"Work Completed","Repairs","2024-04-18 10:05:00","2023-12-07 08:11:46","04/18/2024 10:07:20",1600031626,"1061/2B/VAC/REPAIRS                          ","Payables","2023-12-07 00:00:00","2024-04-18 10:07:20",,"2025-05-01 10:44:35"
482643,"Work Completed","APH-Boiler",,"2023-12-07 08:14:56","12/07/2023 08:14:00",1600031840,"2041-BLDG-DHW Heat Pump                      ","Payables","2023-12-07 00:00:00","2024-05-28 10:41:05",,"2025-05-01 10:44:35"
