WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate,PostedMonth,WODetailRowID,Date1,Date2
496162,2020,506,"Work Completed","Repairs","2024-06-11 13:07:20",,"2024-06-26 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-26 14:49:00",,"2020-506-3YR PAINT                           ",2,279             ,"Prime bathroom with mildew resistant primer",175,350,"2024-06-30 00:00:00","2024-06",969840,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496162,2020,506,"Work Completed","Repairs","2024-06-11 13:07:20",,"2024-06-26 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-26 14:49:00",,"2020-506-3YR PAINT                           ",1,,"PAINT WITH CHINA WHITE SEMIGLOSS",0,0,"2024-06-30 00:00:00","2024-06",969841,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495135,1101,"1101-2B","Work Completed","Repairs","2024-05-30 11:34:31",,"2024-06-11 11:34:00",1600031951,"2024-07-11 17:34:18","2024-06-11 12:52:00",,"1101-2B-3 YEAR PAINT                         ",4,801             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with white (#160) paint.  (hallway/bathroom/kitchen/bedroom/living room)",325,1300,"2024-06-30 00:00:00","2024-06",968673,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495102,3651,"3652-5C","Work Completed","Repairs","2024-05-30 10:12:55",,"2024-06-18 10:12:00",1600031951,"2024-07-11 17:34:18","2024-06-18 13:48:00",,"3651-3652-5C-BR TILES REPAIR                 ",1,,"Bathroom Window Sill Area",0,0,"2024-06-30 00:00:00","2024-06",968646,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495102,3651,"3652-5C","Work Completed","Repairs","2024-05-30 10:12:55",,"2024-06-18 10:12:00",1600031951,"2024-07-11 17:34:18","2024-06-18 13:48:00",,"3651-3652-5C-BR TILES REPAIR                 ",6,,"Demo bathroom window sill",9.6,57.6,"2024-06-30 00:00:00","2024-06",968647,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495102,3651,"3652-5C","Work Completed","Repairs","2024-05-30 10:12:55",,"2024-06-18 10:12:00",1600031951,"2024-07-11 17:34:18","2024-06-18 13:48:00",,"3651-3652-5C-BR TILES REPAIR                 ",6,,"Repair the ceramic tiles in window sill and install with wonderboard and 4x4 white tiles",29.4,176.4,"2024-06-30 00:00:00","2024-06",968654,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495097,1091,"2B","Work Completed","Repairs","2024-05-30 09:53:59",,"2024-06-07 09:54:00",1600031951,"2024-07-11 17:34:18","2024-06-07 10:47:00",,"1091-2B-Post Plumbing Repairs                ",20,240             ,"SQFT   Repair the bathroom ceiling with sheetrock",5.75,115,"2024-06-30 00:00:00","2024-06",968640,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495232,1101,"1104-4A","Work Completed","Supplies","2024-05-31 09:04:37",,"2024-06-11 11:28:00",1600031952,"2024-07-11 17:36:03","2024-06-26 11:43:00",,"1104-4A-CAB/COUNTER                          ",1,"05-04500        ","Wall Cab 42/30",346.15,346.15,"2024-06-30 00:00:00","2024-06",968759,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495171,1055,"1-5R","Work Completed","Supplies","2024-05-30 13:06:30",,"2024-07-09 14:15:48",1600031952,"2024-07-11 17:36:03","2024-06-12 14:15:00",,"1055-5R-CABINET ORDER                        ",1,"05-02530        ","Toe Kick",59.4,59.4,"2024-06-30 00:00:00","2024-06",968726,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495171,1055,"1-5R","Work Completed","Supplies","2024-05-30 13:06:30",,"2024-07-09 14:15:48",1600031952,"2024-07-11 17:36:03","2024-06-12 14:15:00",,"1055-5R-CABINET ORDER                        ",1,"05-02500        ","Countertop (Custom)priced per order",425.5,425.5,"2024-06-30 00:00:00","2024-06",968727,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495168,1860,"1861-5B","Work Completed","Supplies","2024-05-30 12:57:58",,"2024-07-09 11:42:01",1600031952,"2024-07-11 17:36:03","2024-06-26 11:41:00",,"1861-5B-CABINET ORDER                        ",1,"05-02500        ","Countertop (Custom)priced per order",994.75,994.75,"2024-06-30 00:00:00","2024-06",968722,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495168,1860,"1861-5B","Work Completed","Supplies","2024-05-30 12:57:58",,"2024-07-09 11:42:01",1600031952,"2024-07-11 17:36:03","2024-06-26 11:41:00",,"1861-5B-CABINET ORDER                        ",1,"05-00700        ","Base Cabinet 36",430.1,430.1,"2024-06-30 00:00:00","2024-06",968717,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495168,1860,"1861-5B","Work Completed","Supplies","2024-05-30 12:57:58",,"2024-07-09 11:42:01",1600031952,"2024-07-11 17:36:03","2024-06-26 11:41:00",,"1861-5B-CABINET ORDER                        ",1,,"FILLER",64.4,64.4,"2024-06-30 00:00:00","2024-06",968718,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495168,1860,"1861-5B","Work Completed","Supplies","2024-05-30 12:57:58",,"2024-07-09 11:42:01",1600031952,"2024-07-11 17:36:03","2024-06-26 11:41:00",,"1861-5B-CABINET ORDER                        ",14,,"BC KNOBS",5.17,72.38,"2024-06-30 00:00:00","2024-06",968720,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495168,1860,"1861-5B","Work Completed","Supplies","2024-05-30 12:57:58",,"2024-07-09 11:42:01",1600031952,"2024-07-11 17:36:03","2024-06-26 11:41:00",,"1861-5B-CABINET ORDER                        ",2,"05-02530        ","Toe Kick",59.4,118.8,"2024-06-30 00:00:00","2024-06",968719,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495172,3526,"1F","Work Completed","Supplies","2024-05-30 13:11:55",,"2024-06-20 17:33:00",1600031952,"2024-07-11 17:36:03","2024-06-14 17:29:00",,"3526-1F-CABINET ORDER                        ",2,"05-04200        ","Wall Cab 33/30",293.25,586.5,"2024-06-30 00:00:00","2024-06",968728,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495172,3526,"1F","Work Completed","Supplies","2024-05-30 13:11:55",,"2024-06-20 17:33:00",1600031952,"2024-07-11 17:36:03","2024-06-14 17:29:00",,"3526-1F-CABINET ORDER                        ",1,"05-00700        ","Base Cabinet 36",430.1,430.1,"2024-06-30 00:00:00","2024-06",968733,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495172,3526,"1F","Work Completed","Supplies","2024-05-30 13:11:55",,"2024-06-20 17:33:00",1600031952,"2024-07-11 17:36:03","2024-06-14 17:29:00",,"3526-1F-CABINET ORDER                        ",2,"05-02530        ","Toe Kick",59.4,118.8,"2024-06-30 00:00:00","2024-06",968734,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496109,3522,"5E","Work Completed","Repairs","2024-06-11 10:40:30",,"2024-07-03 10:40:00",1600032109,"2024-08-08 09:15:21","2024-07-03 16:23:00",,"3522-5E-BATHROOM CEILING                     ",1,,"BEIGE PAINT",0,0,"2024-07-31 00:00:00","2024-07",969801,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,,"SHAKER NATURAL CABINETS",0,0,,,969885,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-03250        ","Wall Cab 12/30",154.1,154.1,,,969886,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-03700        ","Wall Cab 24/30",219.65,219.65,,,969888,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-04050        ","Wall Cab 30/24",235.75,235.75,,,969889,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-00250        ","Base Cabinet 15",246.1,246.1,,,969895,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-00500        ","Base Cabinet 30",389.85,389.85,,,969898,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",2,"05-03300        ","Wall Cab 15/30",167.9,335.8,,,969887,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-03950        ","Wall Cab 30/15",178.25,178.25,,,969890,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-00300        ","Base Cabinet 18",264.5,264.5,,,969896,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,,"FILLERS",63.25,63.25,,,969900,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-00100        ","12'' BASE CABINET",224.25,224.25,,,969894,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-00350        ","Base Cabinet 21",285.2,285.2,,,969897,"2024-03-22 00:00:00","2024-11-22 00:00:00"
496263,2020,404,"Call","Supplies","2024-06-12 11:02:34",,,0,,,,"2020-404-CABINET ORDER                       ",1,"05-02500        ","Countertop (Custom)priced per order",1408.75,1408.75,,,969902,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495126,1101,"1104-2B","Canceled","Repairs","2024-05-30 11:15:39",,"2024-07-16 11:15:00",0,,,,"1104-2B-REPAIR                               ",1,225             ,"Demo the bathroom vanity",60,60,,,968665,"2024-03-22 00:00:00","2024-11-22 00:00:00"
492541,5037,"1-BLDG","Work Completed","Supplies","2024-04-25 09:30:58",,"2024-04-25 09:30:00",1600031627,"2024-05-14 17:46:21","2024-04-25 10:40:00",,"5037-BLDG-BOILER SIGN                        ",4,"40-06180        ","Sign, Boiler Room",3,12,"2024-04-30 00:00:00","2024-04",966722,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495201,3503,12,"Work Completed","Supplies","2024-05-30 14:41:40",,"2024-06-11 08:52:55",1600031838,"2024-06-17 13:41:37","2024-05-30 08:52:00",,"3502&3503 Plumbing supplies                  ",12,"35-01500        ","Speedy Conn., flex 20",3.95,47.4,"2024-05-31 00:00:00","2024-05",968753,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",6,"20-00500        ","Bulbs, 75 watt frost white",5,30,"2024-05-31 00:00:00","2024-05",966714,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",3,"40-07200        ","Toilet,Seat (white)",11.61,34.83,"2024-05-31 00:00:00","2024-05",966716,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",1,"35-01090        ","Plumbers Putty container",5.95,5.95,"2024-05-31 00:00:00","2024-05",966717,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",6,"40-03850        ","Bleach, 1 gallon",5.94,35.64,"2024-05-31 00:00:00","2024-05",966719,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",10,"40-06125        ","Paper Towels 1 Roll",1.83,18.3,"2024-05-31 00:00:00","2024-05",966721,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493407,3522,"BLDG","Work Completed","Supplies","2024-05-07 10:30:50",,"2024-05-07 10:30:00",1600031838,"2024-06-17 13:41:37","2024-05-09 16:59:00",,"3522-BLDG-SUPPLIES                           ",3,"35-00600        ","Kitchen Deck Faucet 42-406",55,165,"2024-05-31 00:00:00","2024-05",966715,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493367,1285,"BLDG","Work Completed","Supplies","2024-05-07 09:17:36",,"2024-05-07 09:17:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:08:00",,"1285-BLDG-SUPPLIES 05-07-2024                ",2,"40-00350        ","Bags, Recycle Blue 55 gallon",35.53,71.06,"2024-05-31 00:00:00","2024-05",966698,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493367,1285,"BLDG","Work Completed","Supplies","2024-05-07 09:17:36",,"2024-05-07 09:17:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:08:00",,"1285-BLDG-SUPPLIES 05-07-2024                ",6,"20-00400        ","Bulbs, 60 watt frost white",4,24,"2024-05-31 00:00:00","2024-05",966700,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493367,1285,"BLDG","Work Completed","Supplies","2024-05-07 09:17:36",,"2024-05-07 09:17:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:08:00",,"1285-BLDG-SUPPLIES 05-07-2024                ",6,"10-00200        ","LATEX CAULKING 1 TUBE",3,18,"2024-05-31 00:00:00","2024-05",966699,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493367,1285,"BLDG","Work Completed","Supplies","2024-05-07 09:17:36",,"2024-05-07 09:17:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:08:00",,"1285-BLDG-SUPPLIES 05-07-2024                ",15,"40-06125        ","Paper Towels 1 Roll",1.83,27.45,"2024-05-31 00:00:00","2024-05",966694,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493382,1011,"BLDG","Work Completed","Supplies","2024-05-07 09:43:18",,"2024-05-07 09:43:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:07:00",,"1011-bldg-supplies                           ",6,"40-04850        ","Gloves, nitrile (Disposable) 100pc XL",9.72,58.32,"2024-05-31 00:00:00","2024-05",966705,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493382,1011,"BLDG","Work Completed","Supplies","2024-05-07 09:43:18",,"2024-05-07 09:43:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:07:00",,"1011-bldg-supplies                           ",2,"20-00875        ","Pull Chain, Switch",1.85,3.7,"2024-05-31 00:00:00","2024-05",966706,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493382,1011,"BLDG","Work Completed","Supplies","2024-05-07 09:43:18",,"2024-05-07 09:43:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:07:00",,"1011-bldg-supplies                           ",1,"40-04801        ","HOSE, HOT WATER 50'",49.99,49.99,"2024-05-31 00:00:00","2024-05",966708,"2024-03-22 00:00:00","2024-11-22 00:00:00"
492910,1860,"1861-5B","Work Completed","APH-Plumbing","2024-04-30 11:53:19",,"2024-04-30 11:53:00",1600031839,"2024-06-17 13:45:39",,,"1861-5b-toilet is clogged                    ",1,"aph_plumbing    ","APH PLUMBING SERVICES",855,855,"2024-05-31 00:00:00","2024-05",969814,"2024-03-22 00:00:00","2024-11-22 00:00:00"
492910,1860,"1861-5B","Work Completed","APH-Plumbing","2024-04-30 11:53:19",,"2024-04-30 11:53:00",1600031839,"2024-06-17 13:45:39",,,"1861-5b-toilet is clogged                    ",1,"35-00279        ","Waste Bend 17 Gauge (11/2x24)",40.63,40.63,"2024-05-31 00:00:00","2024-05",969815,"2024-03-22 00:00:00","2024-11-22 00:00:00"
492908,1860,"1861-3D","Work Completed","APH-Plumbing","2024-04-30 11:50:44",,"2024-04-30 11:50:00",1600031839,"2024-06-17 13:45:39","2024-05-02 10:59:00",,"1861-3d-toilet/ bathroom sink                ",1,"aph_plumbing    ","APH PLUMBING SERVICES",1356.37,1356.37,"2024-05-31 00:00:00","2024-05",969824,"2024-03-22 00:00:00","2024-11-22 00:00:00"
491703,3548,"5D","Work Completed","APH-Plumbing","2024-04-16 13:19:15",,"2024-06-13 12:12:00",1600031839,"2024-06-17 13:45:39","2024-04-18 12:09:00",,"3548-5D Kitchen Drain water supply           ",1,"35-01100        ","P Trap, CP tube and traps 1 1/2",27.93,27.93,"2024-05-31 00:00:00","2024-05",970081,"2024-03-22 00:00:00","2024-11-22 00:00:00"
492916,3522,"2A","Work Completed","APH-Plumbing","2024-04-30 12:06:49",,"2024-04-30 12:06:00",1600031839,"2024-06-17 13:45:39","2024-06-11 10:44:00",,"3522-2A-TUB STOPPAGE                         ",1,"aph_plumbing    ","APH PLUMBING SERVICES",420,420,"2024-05-31 00:00:00","2024-05",969810,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493998,2041,"BOILER","Work Completed","APH-Boiler","2024-05-15 09:02:27",,,1600031840,"2024-06-17 13:46:57",,,"2041 - Boiler - Boiler Pump 5-15-24          ",1,"aph_boiler      ","APH BOILER SERVICES",2100,2100,"2024-05-31 00:00:00","2024-05",969864,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493288,3508,"BLDG","Work Completed","APH-Boiler","2024-05-06 09:29:20",,"2024-06-13 21:06:55",1600031840,"2024-06-17 13:46:57","2024-05-06 21:03:00",,"3508-Boiler not on                           ",1,"aph_boiler      ","APH BOILER SERVICES",723.08,723.08,"2024-05-31 00:00:00","2024-05",970120,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493537,3554,"BOILER","Work Completed","APH-Boiler","2024-05-08 10:32:33",,"2024-05-08 10:32:00",1600031840,"2024-06-17 13:46:57","2024-05-09 20:40:00",,"3554-BOILER-TUBES LEAKING                    ",1,"aph_boiler      ","APH BOILER SERVICES",221,221,"2024-05-31 00:00:00","2024-05",969854,"2024-03-22 00:00:00","2024-11-22 00:00:00"
494436,1093,"BOILER","Work Completed","APH-Boiler","2024-05-21 09:25:35",,"2024-06-11 21:19:08",1600031840,"2024-06-17 13:46:57","2024-06-11 21:18:00",,"1093 - Boiler - Boiler Rep 5-21-24           ",1,"aph_boiler      ","APH BOILER SERVICES",320,320,"2024-05-31 00:00:00","2024-05",969869,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493812,1831,"1834BOIL","Work Completed","APH-Boiler","2024-05-13 09:41:16",,"2024-06-11 21:11:00",1600031840,"2024-06-17 13:46:57","2024-05-20 21:07:00",,"1834-boiler-low temp alarm                   ",1,"aph_boiler      ","APH BOILER SERVICES",705.32,705.32,"2024-05-31 00:00:00","2024-05",969866,"2024-03-22 00:00:00","2024-11-22 00:00:00"
494201,1039,"BOILER","Work Completed","APH-Boiler","2024-05-16 14:13:33",,"2024-05-16 14:13:00",1600031840,"2024-06-17 13:46:57","2024-05-16 21:12:00",,"1039-BOILER-LEAK                             ",1,"aph_boiler      ","APH BOILER SERVICES",690.72,690.72,"2024-05-31 00:00:00","2024-05",969868,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493977,1083,"BOILER","Work Completed","APH-Boiler","2024-05-14 14:51:07",,"2024-05-14 14:51:00",1600031840,"2024-06-17 13:46:57",,,"1083-boiler-boiler#2 down                    ",1,"aph_boiler      ","APH BOILER SERVICES",320,320,"2024-05-31 00:00:00","2024-05",969872,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",5,240             ,"SQFT   Repair the bathroom ceiling with sheetrock",5.75,28.75,"2024-06-30 00:00:00","2024-06",968668,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",5,270             ,"SQFT    Skimcoat the ceiling in the bathroom",3,15,"2024-06-30 00:00:00","2024-06",968669,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",1,280             ,"Scrape, plaster, paint the complete bathroom",180,180,"2024-06-30 00:00:00","2024-06",968671,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",5,235             ,"SQFT     Demo the bathroom ceiling",3.65,18.25,"2024-06-30 00:00:00","2024-06",968667,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2024-06-30 00:00:00","2024-06",968670,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495131,1101,"1101-2C","Work Completed","Repairs","2024-05-30 11:20:49",,"2024-06-18 11:20:00",1600031951,"2024-07-11 17:34:18","2024-06-18 11:14:00",,"1101-2C-REPAIRS                              ",1,,"BEIGE PAINT",0,0,"2024-06-30 00:00:00","2024-06",968672,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495177,2020,312,"Work Completed","Repairs","2024-05-30 13:39:00",,"2024-06-27 14:01:00",1600031951,"2024-07-11 17:34:18","2024-06-27 15:35:00",,"2020-312 3YR PAINT                           ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2024-06-30 00:00:00","2024-06",968751,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495177,2020,312,"Work Completed","Repairs","2024-05-30 13:39:00",,"2024-06-27 14:01:00",1600031951,"2024-07-11 17:34:18","2024-06-27 15:35:00",,"2020-312 3YR PAINT                           ",1,,"PLEASE USE CHINA WHITE SEMIGLOSS PAINT",0,0,"2024-06-30 00:00:00","2024-06",968752,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495177,2020,312,"Work Completed","Repairs","2024-05-30 13:39:00",,"2024-06-27 14:01:00",1600031951,"2024-07-11 17:34:18","2024-06-27 15:35:00",,"2020-312 3YR PAINT                           ",4,801             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with white (#160) paint.  (hallway/bathroom/kitchen/bedroom/living room)",325,1300,"2024-06-30 00:00:00","2024-06",968749,"2024-03-22 00:00:00","2024-11-22 00:00:00"
