WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate,PostedMonth
484753,3655,"3655-7","Work Completed","APH-Plumbing","2024-01-10 14:54:04",,"2024-01-10 14:54:00",1600031118,"2024-02-16 15:59:24","2024-01-16 07:46:00",,"3655-7-PLUMBING                    ",1,"35-01950        ","Tailpiece,1 1/2 x 8 RB flange",4.2,4.2,"2024-01-31 00:00:00","2024-01"
485107,2042,7,"Work Completed","APH-Plumbing","2024-01-17 10:13:25",,"2024-02-13 13:14:00",1600031118,"2024-02-16 15:59:24","2024-01-18 13:07:00",,"2042 - 7 - Radiator Valve leaking  ",1,"aph_plumbing    ","APH PLUMBING SERVICES",360,360,"2024-01-31 00:00:00","2024-01"
486516,1192,21,"Work Completed","Repairs","2024-02-06 09:55:49",,"2024-02-28 11:48:00",1600031227,"2024-03-08 12:46:42","2024-02-28 16:32:00",,"1192 - 21 - 3 year paint job       ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2024-02-29 00:00:00","2024-02"
486516,1192,21,"Work Completed","Repairs","2024-02-06 09:55:49",,"2024-02-28 11:48:00",1600031227,"2024-03-08 12:46:42","2024-02-28 16:32:00",,"1192 - 21 - 3 year paint job       ",4,800             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with BEIGE paint (hallway/bathroom/kitchen/bedroom/living room)",325,1300,"2024-02-29 00:00:00","2024-02"
486516,1192,21,"Work Completed","Repairs","2024-02-06 09:55:49",,"2024-02-28 11:48:00",1600031227,"2024-03-08 12:46:42","2024-02-28 16:32:00",,"1192 - 21 - 3 year paint job       ",4,805             ,"Two coats are required, per room",150,600,"2024-02-29 00:00:00","2024-02"
486534,1096,"4E","Work Completed","Repairs","2024-02-06 10:28:52",,"2024-02-29 10:28:00",1600031227,"2024-03-08 12:46:42","2024-02-29 16:26:00",,"1096-4E-BATH FL                    ",25,220             ,"SQFT    Repair the bathroom floor with thinset, cement, 2x2 floor tiles and floor grout.",29.4,735,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",5,"40-00450        ","Bags, Recycle Clear 55 Gallon",40.58,202.9,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",2,"40-05625        ","Mailbox Locks 5 - Cam",9.25,18.5,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",7,"40-00600        ","Bags, Garbage 23x17x46 Regular",37.5,262.5,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",12,"40-06125        ","Paper Towels 1 Roll",1.83,21.96,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",2,"30-00100        ","Compound, joint 5 gallon",29.69,59.38,"2024-02-29 00:00:00","2024-02"
487290,1011,"BLDG","Work Completed","Supplies","2024-02-15 10:06:46",,"2024-02-15 10:06:00",1600031228,"2024-03-08 12:48:04","2024-02-23 16:44:00",,"1011-BLDG-SUPPLIES                 ",1,"40-05560        ","Lobby Dust Pan ( black )",22.95,22.95,"2024-02-29 00:00:00","2024-02"
487299,3184,"2A","Work Completed","Supplies","2024-02-15 10:38:50",,"2024-03-22 12:47:00",1600031346,"2024-04-03 12:37:34","2024-02-29 12:47:00",,"3184-2A-CABINET ORDER              ",1,"05-03000        ","Sink Base 42",426.6,426.6,"2024-03-31 00:00:00","2024-03"
487299,3184,"2A","Work Completed","Supplies","2024-02-15 10:38:50",,"2024-03-22 12:47:00",1600031346,"2024-04-03 12:37:34","2024-02-29 12:47:00",,"3184-2A-CABINET ORDER              ",2,"05-00500        ","Base Cabinet 30",389.85,779.7,"2024-03-31 00:00:00","2024-03"
487294,1055,"1057-5F","Work Completed","Supplies","2024-02-15 10:22:39",,"2024-03-06 09:56:00",1600031346,"2024-04-03 12:37:34","2024-03-05 09:55:00",,"1057-5F-COUNTERTOP ORDER           ",1,"05-02500        ","Countertop (Custom)priced per order",1132.75,1132.75,"2024-03-31 00:00:00","2024-03"
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-02500        ","Countertop (Custom)priced per order",859.3,859.3,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",2,"05-03700        ","Wall Cab 24/30",219.65,439.3,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-04100        ","Wall Cab 30/30",274.85,274.85,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-00400        ","Base Cabinet 24",303.6,303.6,,
487393,3519,"2B","Scheduled","Repairs","2024-02-16 09:20:26",,"2024-03-15 14:28:00",0,,,,"3519-2B-kitchen floor repairs      ",10,100             ,"SQFT   Demo the kitchen floor.",3.65,36.5,,
474784,500,"440-3F","Work Completed","Repairs","2023-08-14 12:35:52",,"2023-12-28 12:35:00",1600030958,"2024-01-18 14:01:31","2023-12-28 10:18:00",,"500-440-3F-PAINT JOB               ",2,280             ,"Scrape, plaster, paint the complete bathroom",180,360,,
482886,1711,"5F","Work Completed","Repairs","2023-12-11 09:55:06",,"2023-12-22 11:06:00",1600031047,"2024-02-06 18:08:22","2023-12-22 15:49:00",,"1711-5F-unit leak repairs          ",1,002             ,"ADD'L WORK NEEDED",299,299,"2024-01-31 00:00:00","2024-01"
482368,3500,13,"Work Completed","Repairs","2023-12-04 12:49:40",,"2023-12-15 13:44:00",1600031047,"2024-02-06 18:08:22","2023-12-15 13:45:00",,"3500-13-FLOORS/3 YR PAINT          ",1,,"DID NOT PAINT 1 BEDROOM",-325,-325,"2024-01-31 00:00:00","2024-01"
482368,3500,13,"Work Completed","Repairs","2023-12-04 12:49:40",,"2023-12-15 13:44:00",1600031047,"2024-02-06 18:08:22","2023-12-15 13:45:00",,"3500-13-FLOORS/3 YR PAINT          ",1,,"DID NOT PAINT SECOND COAT 1 BEDROOM",-150,-150,"2024-01-31 00:00:00","2024-01"
482368,3500,13,"Work Completed","Repairs","2023-12-04 12:49:40",,"2023-12-15 13:44:00",1600031047,"2024-02-06 18:08:22","2023-12-15 13:45:00",,"3500-13-FLOORS/3 YR PAINT          ",1,002             ,"ADD'L WORK NEEDED",655,655,"2024-01-31 00:00:00","2024-01"
481722,1182,"BLDG","Work Completed","Repairs","2023-11-27 09:09:27",,"2023-12-21 09:09:00",1600031047,"2024-02-06 18:08:22","2023-12-21 14:59:00",,"1182-BLDG-CEILING REPAIR           ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
478488,1705,"4C","Work Completed","Repairs","2023-10-11 10:08:28",,"2023-12-26 10:08:00",1600031047,"2024-02-06 18:08:22","2023-12-26 15:41:00",,"1705-4C-REPAIR                     ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
482886,1711,"5F","Work Completed","Repairs","2023-12-11 09:55:06",,"2023-12-22 11:06:00",1600031047,"2024-02-06 18:08:22","2023-12-22 15:49:00",,"1711-5F-unit leak repairs          ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
474888,1880,507,"Work Completed","Repairs","2023-08-15 16:08:58",,"2023-08-16 11:46:00",1600031047,"2024-02-06 18:08:22","2023-08-16 11:45:00",,"1880-507 Vacant  floor proposal    ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
480085,1027,"BLDG","Work Completed","Supplies","2023-11-02 10:04:49",,"2024-01-29 11:23:00",1600031048,"2024-02-06 18:09:24","2023-11-09 11:23:00",,"1027-SUPPLIES                      ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
478211,1705,"4C","Work Completed","Supplies","2023-10-06 10:37:14",,"2023-10-19 10:56:00",1600031048,"2024-02-06 18:09:24","2023-11-16 09:47:00",,"1705-4C-CABINETS                   ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
484676,1081,"2F","Work Completed","Supplies","2024-01-09 16:21:42",,"2024-01-23 12:18:22",1600031048,"2024-02-06 18:09:24","2024-01-22 12:17:00",,"1081-nycha/Base Cabinet/Countertop ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
482639,1082,"1G","Work Completed","Supplies","2023-12-07 07:39:31",,"2024-01-29 12:52:00",1600031048,"2024-02-06 18:09:24","2024-01-25 12:52:00",,"1082/1G/VAC/CABINETS               ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
484723,5033,4,"Work Completed","Supplies","2024-01-10 11:10:04",,"2024-01-10 11:10:00",1600031048,"2024-02-06 18:09:24","2024-01-25 14:38:00",,"5033-4-ALARM                       ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
479294,1059,"2-2E","Work Completed","Supplies","2023-10-23 14:31:35",,"2024-01-30 09:51:28",1600031048,"2024-02-06 18:09:24","2023-11-16 09:50:00",,"1059-2-2E- CABINETS                ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
486517,3525,"2B","Work Completed","Supplies","2024-02-06 09:56:45",,"2024-02-06 12:11:10",1600031048,"2024-02-06 18:09:24","2024-01-10 12:10:00",,"3525-SUPPLIES                      ",1,"40-05650        ","Medicine Cabinet",45.23,45.23,"2024-01-31 00:00:00","2024-01"
482765,1028,"5J","Work Completed","Supplies","2023-12-08 08:11:31",,"2024-02-01 12:08:00",1600031048,"2024-02-06 18:09:24","2024-01-30 12:07:00",,"1028/5J/VAC/CABINETS               ",0,,":Tax Amount",0,0,"2024-01-31 00:00:00","2024-01"
486347,1022,"BLDG","Work Completed","Supplies","2024-02-02 11:25:07",,"2024-02-02 11:25:00",1600031117,"2024-02-16 15:57:35","2024-02-02 16:11:00",,"1022/BLDG./KEYS                    ",10,050             ,"Supplied Medeco Keys for the building entry door to the office",18,180,"2024-01-31 00:00:00","2024-01"
486267,1011,"BST","Work Completed","Supplies","2024-02-01 11:25:03",,"2024-02-01 11:25:00",1600031117,"2024-02-16 15:57:35","2024-02-08 15:52:00",,"1011-basment-supplies              ",2,"20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",13.5,27,"2024-01-31 00:00:00","2024-01"
486267,1011,"BST","Work Completed","Supplies","2024-02-01 11:25:03",,"2024-02-01 11:25:00",1600031117,"2024-02-16 15:57:35","2024-02-08 15:52:00",,"1011-basment-supplies              ",1,"20-01300        ","FIXTURE, KITCHEN WITH COVER",37.8,37.8,"2024-01-31 00:00:00","2024-01"
486728,1142,"2-1E","Work Completed","Supplies","2024-02-07 12:40:50",,"2024-02-07 12:40:00",1600031117,"2024-02-16 15:57:35","2024-02-08 16:37:00",,"1142-2-1E-COMBO ALARMS             ",4,"40-04240        ","Alarm, carbon monoxide/smoke electric",65,260,"2024-01-31 00:00:00","2024-01"
486486,1181,"C6","Work Completed","Supplies","2024-02-06 08:32:50",,"2024-02-06 08:32:00",1600031117,"2024-02-16 15:57:35","2024-02-06 16:21:00",,"1181-C6-SUPPLIES                   ",1,"20-00580        ","Fixture, Kitchen-Hall-Liv-Bed w/out pullchain",15.25,15.25,"2024-01-31 00:00:00","2024-01"
485061,3540,"3A","Work Completed","APH-Plumbing","2024-01-16 12:27:46",,"2024-01-16 12:27:00",1600031118,"2024-02-16 15:59:24","2024-01-16 20:57:00",,"3540-3A-TOILET REPLACEMENT         ",1,"36-01000        ","GERBER 41-818 TRIP LEVER       GEBG41818",107.06,107.06,"2024-01-31 00:00:00","2024-01"
485061,3540,"3A","Work Completed","APH-Plumbing","2024-01-16 12:27:46",,"2024-01-16 12:27:00",1600031118,"2024-02-16 15:59:24","2024-01-16 20:57:00",,"3540-3A-TOILET REPLACEMENT         ",1,"aph_plumbing    ","APH PLUMBING SERVICES",1000,1000,"2024-01-31 00:00:00","2024-01"
485387,3506,"5B","Work Completed","APH-Plumbing","2024-01-19 11:51:21",,"2024-01-19 11:51:00",1600031118,"2024-02-16 15:59:24",,,"3506-5B-PLUMBING                   ",1,"35-01000        ","Toilet Fill Valve- hunter - A400 Fluidmaster",12.72,12.72,"2024-01-31 00:00:00","2024-01"
485387,3506,"5B","Work Completed","APH-Plumbing","2024-01-19 11:51:21",,"2024-01-19 11:51:00",1600031118,"2024-02-16 15:59:24",,,"3506-5B-PLUMBING                   ",1,"35-02000        ","Toilet Flapper",8.75,8.75,"2024-01-31 00:00:00","2024-01"
485387,3506,"5B","Work Completed","APH-Plumbing","2024-01-19 11:51:21",,"2024-01-19 11:51:00",1600031118,"2024-02-16 15:59:24",,,"3506-5B-PLUMBING                   ",1,"35-00251        ","Terry Wipes (Rags)",13.5,13.5,"2024-01-31 00:00:00","2024-01"
484239,2060,"2062-3N","Work Completed","APH-Plumbing","2024-01-04 09:26:29",,"2024-01-04 09:26:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:37:00",,"2062-3N- kitchen faucet            ",1,"35-01950        ","Tailpiece,1 1/2 x 8 RB flange",4.2,4.2,"2024-01-31 00:00:00","2024-01"
484239,2060,"2062-3N","Work Completed","APH-Plumbing","2024-01-04 09:26:29",,"2024-01-04 09:26:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:37:00",,"2062-3N- kitchen faucet            ",1,"aph_plumbing    ","APH PLUMBING SERVICES",452.2,452.2,"2024-01-31 00:00:00","2024-01"
484672,1006,"2D","Work Completed","APH-Plumbing","2024-01-09 15:59:48",,"2024-01-09 15:59:00",1600031118,"2024-02-16 15:59:24","2024-01-09 19:22:00",,"1006-2D-Repair pipe behind toilet  ",1,"aph_plumbing    ","APH PLUMBING SERVICES",751,751,"2024-01-31 00:00:00","2024-01"
484672,1006,"2D","Work Completed","APH-Plumbing","2024-01-09 15:59:48",,"2024-01-09 15:59:00",1600031118,"2024-02-16 15:59:24","2024-01-09 19:22:00",,"1006-2D-Repair pipe behind toilet  ",1,"35-00300        ","Flush O Meter Kit coy+del",24.3,24.3,"2024-01-31 00:00:00","2024-01"
484672,1006,"2D","Work Completed","APH-Plumbing","2024-01-09 15:59:48",,"2024-01-09 15:59:00",1600031118,"2024-02-16 15:59:24","2024-01-09 19:22:00",,"1006-2D-Repair pipe behind toilet  ",1,"36-00550        ","11/4X6 CP SLIP ELL       TUCSLC1260",19.58,19.58,"2024-01-31 00:00:00","2024-01"
484289,1082,"5B","Work Completed","APH-Plumbing","2024-01-04 13:08:55",,"2024-01-04 13:08:00",1600031118,"2024-02-16 15:59:24","2024-01-08 10:02:00",,"1082-5B-BATHROOM SINK DRAIN        ",1,"aph_plumbing    ","APH PLUMBING SERVICES",1200,1200,"2024-01-31 00:00:00","2024-01"
484289,1082,"5B","Work Completed","APH-Plumbing","2024-01-04 13:08:55",,"2024-01-04 13:08:00",1600031118,"2024-02-16 15:59:24","2024-01-08 10:02:00",,"1082-5B-BATHROOM SINK DRAIN        ",1,"35-0072         ","Universal-Plumbing Supplies",73,73,"2024-01-31 00:00:00","2024-01"
484411,3531,26,"Work Completed","APH-Plumbing","2024-01-05 12:43:54",,"2024-01-05 12:43:00",1600031118,"2024-02-16 15:59:24","2024-01-12 09:20:00","sepulved    ","3531-26-UNCLOG TUB                 ",0,,"",0,0,"2024-01-31 00:00:00","2024-01"
484411,3531,26,"Work Completed","APH-Plumbing","2024-01-05 12:43:54",,"2024-01-05 12:43:00",1600031118,"2024-02-16 15:59:24","2024-01-12 09:20:00",,"3531-26-UNCLOG TUB                 ",1,"aph_plumbing    ","APH PLUMBING SERVICES",540,540,"2024-01-31 00:00:00","2024-01"
484668,1059,"1-4C","Work Completed","APH-Plumbing","2024-01-09 15:54:25",,"2024-01-09 15:54:00",1600031118,"2024-02-16 15:59:24","2024-01-10 19:18:00","sepulved    ","1059-1-4C - CLOGGED TOILET         ",0,,"",0,0,"2024-01-31 00:00:00","2024-01"
484668,1059,"1-4C","Work Completed","APH-Plumbing","2024-01-09 15:54:25",,"2024-01-09 15:54:00",1600031118,"2024-02-16 15:59:24","2024-01-10 19:18:00",,"1059-1-4C - CLOGGED TOILET         ",1,"aph_plumbing    ","APH PLUMBING SERVICES",1200,1200,"2024-01-31 00:00:00","2024-01"
484303,3544,"5H","Work Completed","APH-Plumbing","2024-01-04 15:25:47",,"2024-01-04 15:25:00",1600031118,"2024-02-16 15:59:24","2024-01-08 21:42:00",,"3544-5H-BEDROOM RADIATOR           ",1,"aph_plumbing    ","APH PLUMBING SERVICES",620,620,"2024-01-31 00:00:00","2024-01"
484749,1081,"2F","Work Completed","APH-Plumbing","2024-01-10 14:22:47",,"2024-01-10 14:22:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:51:00",,"1081-2F-PLUMBING                   ",1,"35-00279        ","Waste Bend 17 Gauge (11/2x24)",40.63,40.63,"2024-01-31 00:00:00","2024-01"
484749,1081,"2F","Work Completed","APH-Plumbing","2024-01-10 14:22:47",,"2024-01-10 14:22:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:51:00",,"1081-2F-PLUMBING                   ",1,,"WASHER, NIPPLE, 1/2 SLIP, NOT, 2'' GALV TEE,",53,53,"2024-01-31 00:00:00","2024-01"
486485,1022,"5F","Work Completed","Repairs","2024-02-06 07:42:13",,"2024-02-27 11:42:00",1600031227,"2024-03-08 12:46:42","2024-02-27 16:53:00",,"1022 - 5F Install Sink Cabinet     ",1,,"Demo sink base cabinet",200,200,"2024-02-29 00:00:00","2024-02"
486485,1022,"5F","Work Completed","Repairs","2024-02-06 07:42:13",,"2024-02-27 11:42:00",1600031227,"2024-03-08 12:46:42","2024-02-27 16:53:00",,"1022 - 5F Install Sink Cabinet     ",1,,"Install New sink base",200,200,"2024-02-29 00:00:00","2024-02"
486485,1022,"5F","Work Completed","Repairs","2024-02-06 07:42:13",,"2024-02-27 11:42:00",1600031227,"2024-03-08 12:46:42","2024-02-27 16:53:00",,"1022 - 5F Install Sink Cabinet     ",1,,"Install Kitchen Sink",0,0,"2024-02-29 00:00:00","2024-02"
487392,500,"535-5A","Work Completed","Repairs","2024-02-16 09:16:31",,"2024-02-28 12:44:00",1600031227,"2024-03-08 12:46:42","2024-02-28 09:57:00",,"535-5A-court stip 3 year           ",4,805             ,"Two coats are required, per room",150,600,"2024-02-29 00:00:00","2024-02"
486611,1027,"1C","Work Completed","Repairs","2024-02-06 13:55:08",,"2024-02-13 10:19:00",1600031227,"2024-03-08 12:46:42","2024-02-13 16:39:00",,"1027-VACANCY REPAIRS               ",15,257             ,"SQ.FT. Demo tile bathroom wall",3.3,49.5,"2024-02-29 00:00:00","2024-02"
486611,1027,"1C","Work Completed","Repairs","2024-02-06 13:55:08",,"2024-02-13 10:19:00",1600031227,"2024-03-08 12:46:42","2024-02-13 16:39:00",,"1027-VACANCY REPAIRS               ",15,264             ,"sqft    Repair the ceramic tile wall in the bathroom and install with wonderboard and 3x6 white wall tiles",29.4,441,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-04301        ","Wall Cab 33/18",207,207,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-02500        ","Countertop (Custom)priced per order",529,529,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-00500        ","Base Cabinet 30",389.85,389.85,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-00450        ","Base Cabinet 27",370.3,370.3,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-04400        ","Wall Cab 36/30",305.9,305.9,"2024-02-29 00:00:00","2024-02"
486750,1712,"4D","Work Completed","Supplies","2024-02-07 16:02:58",,"2024-02-27 14:38:19",1600031228,"2024-03-08 12:48:04","2024-02-22 14:37:00",,"1712-4D-CABINET ORDER              ",1,"05-03400        ","Wall cab 18/30",184,184,"2024-02-29 00:00:00","2024-02"
