PONumber,WONumber,Vendor,QtyOrdered,ExpenseType,UnitPrice,TotalCost,OrderDate,ReceivedDate,ItemCode,ItemDesc,Client
46817   ,,"Century Maintenance",10,"Maintenance-Inventory",9.89,98.9,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-04500        ","Stud, Wood 2x4x10",", "
46817   ,,"Century Maintenance",4,"Maintenance-Inventory",17.99,71.96,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-04700        ","Stud,Wood 1 x 12 x 8",", "
46817   ,,"Century Maintenance",2,"Maintenance-Inventory",49.49,98.98,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-04800        ","Stud, Wood 4 x 4 x 10",", "
46817   ,,"Century Maintenance",20,"Maintenance-Inventory",49.49,989.8,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-02800        ","Plywood, 3/8 Underlayment",", "
46817   ,,"Century Maintenance",48,"Maintenance-Inventory",24.29,1165.92,"2023-01-05 00:00:00","01/06/2023 00:00:00","30-00100        ","Compound, joint 5 gallon",", "
46817   ,,"Century Maintenance",5,"Maintenance-Inventory",189,945,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-00600        ","Pre hung door, 30 x80",", "
46817   ,,"Century Maintenance",5,"Maintenance-Inventory",80.99,404.95,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-00650        ","SLAB DOOR - 30X80",", "
46831   ,,"F&F HARDWARE AND SUPPLY. INC.",5,"Maintenance-Inventory",6.95,34.75,"2023-01-09 00:00:00","01/09/2023 00:00:00","30-01550        ","TAPE, MESH",", "
46831   ,,"F&F HARDWARE AND SUPPLY. INC.",10,"Maintenance-Inventory",6.95,69.5,"2023-01-09 00:00:00","01/09/2023 00:00:00","30-01500        ","Tape, Sheetrock",", "
46831   ,,"F&F HARDWARE AND SUPPLY. INC.",24,"Maintenance-Inventory",9.95,238.8,"2023-01-09 00:00:00","01/09/2023 00:00:00","40-04250        ","Caulking, Bathroom Silicone (white)",", "
46831   ,,"F&F HARDWARE AND SUPPLY. INC.",15,"Maintenance-Inventory",37.5,562.5,"2023-01-09 00:00:00","01/09/2023 00:00:00","40-05650        ","Medicine Cabinet",", "
46858   ,,"HOME DEPOT CREDIT SERVICES",30,"Maintenance-Inventory",13.2,396,"2023-01-12 00:00:00",,"50-00500        ","Sheetrock, Wonderboard",", "
46876   ,,"CROWN JANITORIAL",70,"CoOp-Inventory",26.32,1842.4,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-00350        ","Bags, Recycle Blue 55 gallon",", "
46876   ,,"CROWN JANITORIAL",70,"CoOp-Inventory",26.64,1864.8,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-00450        ","Bags, Recycle Clear 55 Gallon",", "
46876   ,,"CROWN JANITORIAL",210,"CoOp-Inventory",27.78,5833.8,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-00600        ","Bags, Garbage 23x17x46 Regular",", "
46876   ,,"CROWN JANITORIAL",36,"CoOp-Inventory",30.72,1105.92,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-04551        ","Deodorant, lavender (5 gallon containers)",", "
46876   ,,"CROWN JANITORIAL",20,"CoOp-Inventory",18.31,366.2,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-00250        ","Ammonia, 1 gallon",", "
46876   ,,"CROWN JANITORIAL",10,"CoOp-Inventory",72.03,720.3,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-04850        ","Gloves, nitrile (Disposable) 100pc XL",", "
46876   ,,"CROWN JANITORIAL",4,"CoOp-Inventory",46.89,187.56,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-04500        ","Deterg Cleaner Degreaser",", "
46876   ,,"CROWN JANITORIAL",40,"CoOp-Inventory",29.44,1177.6,"2023-01-17 00:00:00","01/17/2023 00:00:00","40-00725        ","Bags, Garbage 22 x 14 x 55 Xlarge",", "
46877   ,,"SPARKLE LIGHT MFG.",30,"Maintenance-Inventory",30,900,"2023-01-17 00:00:00",,"20-01300        ","FIXTURE, KITCHEN WITH COVER",", "
46877   ,,"SPARKLE LIGHT MFG.",20,"Maintenance-Inventory",18,360,"2023-01-17 00:00:00",,"20-00575        ","Fixture, Bathroom (with out pullchain)",", "
46878   ,,"Century Maintenance",10,"Maintenance-Inventory",24.69,246.9,"2023-01-17 00:00:00","01/17/2023 00:00:00","50-00500        ","Sheetrock, Wonderboard",", "
46878   ,,"Century Maintenance",60,"Maintenance-Inventory",3.59,215.4,"2023-01-17 00:00:00","01/17/2023 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
46878   ,,"Century Maintenance",160,"Maintenance-Inventory",1.13,180.8,"2023-01-17 00:00:00","01/17/2023 00:00:00","10-01900        ","Molding, 2 1/4 clamshell (per 8 ft)",", "
46881   ,,"WORLD AND MAIN(CRANBURY), LLC.",50,"Maintenance-Inventory",2.42,121,"2023-01-18 00:00:00","04/03/2023 00:00:00","35-02025        ","Toilet Supply (speedies)",", "
46892   ,,"RITZ PAINT",15,"Maintenance-Inventory",120,1800,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00400        ","Paint, #160 5 gallon (white)",", "
46892   ,,"RITZ PAINT",10,"Maintenance-Inventory",48,480,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00300        ","Paint,#160 2 gallon (white)",", "
46892   ,,"RITZ PAINT",8,"Maintenance-Inventory",120,960,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00600        ","Paint, BEIGE 5 gallon",", "
46892   ,,"RITZ PAINT",5,"Maintenance-Inventory",120,600,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00680        ","PAINT, LINEN WHITE SG-5 GALLON",", "
46892   ,,"RITZ PAINT",5,"Maintenance-Inventory",100,500,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00835        ","PAINT, BENJ MOORE 5 GAL FLAT WHITE",", "
46892   ,,"RITZ PAINT",72,"Maintenance-Inventory",2.5,180,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-00900        ","Paint, Roller9",", "
46892   ,,"RITZ PAINT",48,"Maintenance-Inventory",8,384,"2023-01-19 00:00:00","01/19/2023 00:00:00","40-04250        ","Caulking, Bathroom Silicone (white)",", "
46892   ,,"RITZ PAINT",48,"Maintenance-Inventory",6,288,"2023-01-19 00:00:00","01/19/2023 00:00:00","30-01000        ","Paint, Handle 9",", "
46916   ,,"Century Maintenance",2,"Maintenance-Inventory",35.99,71.98,"2023-01-23 00:00:00","01/23/2023 00:00:00","20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",", "
46937   ,,"HEATING & BURNER SUPPLY, INC.",1,"Boiler-Inventory",550,550,"2023-01-24 00:00:00","01/25/2023 00:00:00","35-00268        ","Circulation Pump 100 Oil Lub 3pc 33GPM  1/1 B/G106197LF",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",16,"Maintenance-Inventory",25.47,407.52,"2023-01-24 00:00:00",,"20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",5,"Maintenance-Inventory",13.38,66.9,"2023-01-24 00:00:00","02/13/2023 00:00:00","10-04200        ","Sheetrock, White",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",42.13,842.6,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-02800        ","Plywood, 3/8 Underlayment",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",15,"Maintenance-Inventory",48.98,734.7,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-02700        ","Plywood 3/4",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",17.98,71.92,"2023-01-24 00:00:00",,"10-03400        ","Saddle, Marble Entry 4'' X 36''",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",16,"Maintenance-Inventory",25.47,407.52,"2023-01-24 00:00:00","01/25/2023 00:00:00","20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",18.88,377.6,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-04100        ","Sheetrock,Green 1/2''",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",6,"Maintenance-Inventory",22.78,136.68,"2023-01-24 00:00:00","01/25/2023 00:00:00","30-01100        ","Plaster, white (25lb bags)",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",15,"Maintenance-Inventory",13.38,200.7,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-04200        ","Sheetrock, White",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",24.37,73.11,"2023-01-24 00:00:00","02/13/2023 00:00:00","50-00660        ","THINSET- KWIKSET 25 LB BAG",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",20.47,81.88,"2023-01-24 00:00:00","01/25/2023 00:00:00","50-00300        ","Grout, Wall  (25 lb Bags)",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",21.97,87.88,"2023-01-24 00:00:00",,"50-00200        ","Grout, Floor (25lb Bags)",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",139,417,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-00400        ","Pre hung door, 24x80",", "
46943   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",69.46,138.92,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-00550        ","SLAB DOOR - 28X80",", "
46964   ,,"Century Maintenance",1,"Maintenance-Inventory",76.49,76.49,"2023-01-25 00:00:00","01/25/2023 00:00:00","10-00550        ","SLAB DOOR - 28X80",", "
46974   ,462200  ,"Century Maintenance",6,"CoOp-Inventory",32.39,194.34,"2023-01-26 00:00:00","01/26/2023 00:00:00","20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull","ANDERSON REHAB ASSOCIATES, 963 ANDERSON AVENUE"
46980   ,,"CROWN JANITORIAL",2,"CoOp-Inventory",30.72,61.44,"2023-01-26 00:00:00","01/31/2023 00:00:00","40-04552        ","Deodorant, rain forest (5 gallon containers)",", "
46980   ,,"CROWN JANITORIAL",18,"CoOp-Inventory",25.74,463.32,"2023-01-26 00:00:00","01/31/2023 00:00:00","40-03850        ","Bleach, 1 gallon",", "
46980   ,,"CROWN JANITORIAL",7,"CoOp-Inventory",38.55,269.85,"2023-01-26 00:00:00","01/31/2023 00:00:00","40-06125        ","Paper Towels 1 Roll",", "
46986   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",60.83,243.32,"2023-01-27 00:00:00","02/13/2023 00:00:00","10-01300        ","Lock, Privacy",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",12,"Maintenance-Inventory",11.98,143.76,"2023-01-30 00:00:00",,"40-03800        ","Battery, 9 volt",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",36,"Maintenance-Inventory",8.98,323.28,"2023-01-30 00:00:00","02/13/2023 00:00:00","40-04250        ","Caulking, Bathroom Silicone (white)",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",21.97,43.94,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-00200        ","Grout, Floor (25lb Bags)",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",25.48,101.92,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",24.37,48.74,"2023-01-30 00:00:00",,"50-00660        ","THINSET- KWIKSET 25 LB BAG",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",59.46,118.92,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00380        ","DOOR 18 X 80 SLAB",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",69.46,138.92,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00550        ","SLAB DOOR - 28X80",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",64.46,257.84,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00450        ","SLAB DOOR - 24X80",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",79.46,158.92,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00750        ","SLAB DOOR - 32X80",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",21.97,43.94,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-00500        ","Sheetrock, Wonderboard",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",5,"Maintenance-Inventory",139,695,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00600        ","Pre hung door, 30 x80",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",1,"Maintenance-Inventory",139,139,"2023-01-30 00:00:00","02/13/2023 00:00:00","10-00500        ","Pre hung door, 28x80",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",11.99,119.9,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-04200        ","12 X 12 WHITE FLOOR TILES/SQ FT",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",15.98,127.84,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-01400        ","Tile, Ceramic Wall 4x4(96 case)",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",17.87,71.48,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-00650        ","Thinset (50lb Bags)",", "
47001   ,,"HOME DEPOT CREDIT SERVICES",5,"Maintenance-Inventory",20.47,102.35,"2023-01-30 00:00:00","02/13/2023 00:00:00","50-00300        ","Grout, Wall  (25 lb Bags)",", "
47008   ,,"RITZ PAINT",12,"Maintenance-Inventory",3.5,42,"2023-01-31 00:00:00","01/31/2023 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
47012   ,,"RITZ PAINT",40,"Maintenance-Inventory",24,960,"2023-01-31 00:00:00","01/31/2023 00:00:00","30-00400        ","Paint, #160 5 gallon (white)",", "
47012   ,,"RITZ PAINT",10,"Maintenance-Inventory",24,240,"2023-01-31 00:00:00","01/31/2023 00:00:00","30-00500        ","Paint, BEIGE 2 gallon",", "
47012   ,,"RITZ PAINT",20,"Maintenance-Inventory",24,480,"2023-01-31 00:00:00","01/31/2023 00:00:00","30-00680        ","PAINT, LINEN WHITE SG-5 GALLON",", "
47012   ,,"RITZ PAINT",4,"Maintenance-Inventory",75,300,"2023-01-31 00:00:00","01/31/2023 00:00:00","30-01700        ","PRIMER, BINZ",", "
47012   ,,"RITZ PAINT",12,"Maintenance-Inventory",3.5,42,"2023-01-31 00:00:00","01/31/2023 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
47012   ,,"RITZ PAINT",24,"Maintenance-Inventory",4.25,102,"2023-01-31 00:00:00","01/31/2023 00:00:00","40-06900        ","Tape, Duct",", "
47012   ,,"RITZ PAINT",12,"Maintenance-Inventory",9,108,"2023-01-31 00:00:00","01/31/2023 00:00:00","30-01330        ","BLUE PAINTERS TAPE",", "
47012   ,,"RITZ PAINT",1,"Maintenance-Inventory",15.95,15.95,"2023-01-31 00:00:00","01/31/2023 00:00:00","50-00200        ","Grout, Floor (25lb Bags)",", "
47013   ,,"Century Maintenance",160,"Maintenance-Inventory",2.03,324.8,"2023-01-31 00:00:00","02/01/2023 00:00:00","10-02100        ","Molding,5 1/4 clamshell (per 8 ft)",", "
47013   ,,"Century Maintenance",240,"Maintenance-Inventory",1.44,345.6,"2023-01-31 00:00:00","02/01/2023 00:00:00","10-02000        ","Molding, 3/4 x 1/4 round (per 8 ft)",", "
47013   ,,"Century Maintenance",240,"Maintenance-Inventory",0.81,194.4,"2023-01-31 00:00:00","02/01/2023 00:00:00","10-02050        ","Molding, 3 1/4 Clamshell (per 8 ft)",", "
47013   ,,"Century Maintenance",50,"Maintenance-Inventory",9.89,494.5,"2023-01-31 00:00:00","02/01/2023 00:00:00","35-01085        ","Pipe Elbow 90, 12",", "
47013   ,,"Century Maintenance",50,"Maintenance-Inventory",6.29,314.5,"2023-01-31 00:00:00","02/01/2023 00:00:00","35-01951        ","Tailpiece, 1 1/2 x 12 RB flange",", "
47046   ,,"F&F HARDWARE AND SUPPLY. INC.",2,"Maintenance-Inventory",11.95,23.9,"2023-02-03 00:00:00","02/07/2023 00:00:00","50-02500        ","Tile, Towel Bar (complete)",", "
47046   ,,"F&F HARDWARE AND SUPPLY. INC.",12,"Maintenance-Inventory",4.25,51,"2023-02-03 00:00:00","02/07/2023 00:00:00","10-00330        ","CORNERBEADS",", "
47046   ,,"F&F HARDWARE AND SUPPLY. INC.",24,"Maintenance-Inventory",1.25,30,"2023-02-03 00:00:00","02/07/2023 00:00:00","40-04855        ","Gloves, Woven Jersey Glove w/ Rubber Palm",", "
47046   ,,"F&F HARDWARE AND SUPPLY. INC.",4,"Maintenance-Inventory",7.95,31.8,"2023-02-03 00:00:00","02/07/2023 00:00:00","50-00300        ","Grout, Wall  (25 lb Bags)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",40,"Maintenance-Inventory",0.77,30.8,"2023-02-03 00:00:00",,"20-00560        ","Duplex Outlets",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",7.98,23.94,"2023-02-03 00:00:00",,"20-00900        ","Switches, Single light pole (white)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",40,"Maintenance-Inventory",0.73,29.2,"2023-02-03 00:00:00",,"20-00810        ","Plate, Single wall toggle (white)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",55.67,111.34,"2023-02-03 00:00:00",,"20-00561        ","GFI Outlets",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",17.78,355.6,"2023-02-03 00:00:00","03/03/2023 00:00:00","30-00100        ","Compound, joint 5 gallon",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",22.78,182.24,"2023-02-03 00:00:00",,"30-01100        ","Plaster, white (25lb bags)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",30,"Maintenance-Inventory",11.98,359.4,"2023-02-03 00:00:00","03/03/2023 00:00:00","50-00500        ","Sheetrock, Wonderboard",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",42.13,842.6,"2023-02-03 00:00:00","03/03/2023 00:00:00","10-02800        ","Plywood, 3/8 Underlayment",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",12,"Maintenance-Inventory",3.47,41.64,"2023-02-03 00:00:00",,"40-04851        ","Gloves, Work Leather",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",165,"Maintenance-Inventory",0.99,163.35,"2023-02-03 00:00:00",,"50-04200        ","12 X 12 WHITE FLOOR TILES/SQ FT",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",12,"Maintenance-Inventory",15.98,191.76,"2023-02-03 00:00:00","03/03/2023 00:00:00","50-01400        ","Tile, Ceramic Wall 4x4(96 case)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",15,60,"2023-02-03 00:00:00",,"50-01300        ","Tile, Ceramic wall 3x6(88 case)",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",7.76,77.6,"2023-02-03 00:00:00","03/03/2023 00:00:00","30-01550        ","TAPE, MESH",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",6.54,65.4,"2023-02-03 00:00:00","03/03/2023 00:00:00","10-04700        ","Stud,Wood 1 x 12 x 8",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",20.87,41.74,"2023-02-03 00:00:00",,"40-03600        ","Battery AA Duracell  4 pack",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",1,"Maintenance-Inventory",31.3,31.3,"2023-02-03 00:00:00","03/03/2023 00:00:00","40-03800        ","Battery, 9 volt",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",60.78,182.34,"2023-02-03 00:00:00",,"10-01300        ","Lock, Privacy 10 pack",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",12,"Maintenance-Inventory",6.54,78.48,"2023-02-03 00:00:00","03/03/2023 00:00:00","10-04400        ","Studs, Wood 1x3x10",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",89,890,"2023-02-03 00:00:00","02/07/2023 00:00:00","35-00060        ","DELTA SINGLE LEVER KITCHEN FAUCET #100-DST",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",6.68,66.8,"2023-02-03 00:00:00","03/03/2023 00:00:00","10-04500        ","Stud, Wood 2x4x10",", "
47050   ,,"HOME DEPOT CREDIT SERVICES",5,"Maintenance-Inventory",19.98,99.9,"2023-02-03 00:00:00","03/03/2023 00:00:00","50-00650        ","Thinset (50lb Bags)",", "
47111   ,,"Century Maintenance",10,"Maintenance-Inventory",9.89,98.9,"2023-02-10 00:00:00","02/10/2023 00:00:00","35-00150        ","Diverter Spouts",", "
47111   ,,"Century Maintenance",5,"Maintenance-Inventory",4.49,22.45,"2023-02-10 00:00:00","02/10/2023 00:00:00","40-08300        ","Window, Center Lock",", "
47111   ,,"Century Maintenance",24,"Maintenance-Inventory",2.03,48.72,"2023-02-10 00:00:00","02/10/2023 00:00:00","20-00560        ","Duplex Outlets",", "
47124   ,,"QUALITY TILE CORPORATION",3,"Maintenance-Inventory",59,177,"2023-02-13 00:00:00",,"50-03650        ","4X4 TILES PINK (CASE)",", "
47124   ,,"QUALITY TILE CORPORATION",1,"Maintenance-Inventory",140,140,"2023-02-13 00:00:00",,"50-03550        ","TILE, 4X4 BEIGE CS ( ALMOND )",", "
47137   ,,"CROWN JANITORIAL",70,"Maintenance-Inventory",26.32,1842.4,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-00350        ","Bags, Recycle Blue 55 gallon",", "
47137   ,,"CROWN JANITORIAL",70,"Maintenance-Inventory",26.64,1864.8,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-00450        ","Bags, Recycle Clear 55 Gallon",", "
47137   ,,"CROWN JANITORIAL",40,"Maintenance-Inventory",31.23,1249.2,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-00500        ","Bags, Compactor 29",", "
47137   ,,"CROWN JANITORIAL",10,"Maintenance-Inventory",30.72,307.2,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-04551        ","Deodorant, lavender (5 gallon containers)",", "
47137   ,,"CROWN JANITORIAL",10,"Maintenance-Inventory",63.97,639.7,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-04850        ","Gloves, nitrile (Disposable) 100pc XL",", "
47137   ,,"CROWN JANITORIAL",140,"Maintenance-Inventory",27.78,3889.2,"2023-02-14 00:00:00","02/15/2023 00:00:00","40-00600        ","Bags, Garbage 23x17x46 Regular",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",24,480,"2023-02-17 00:00:00","03/03/2023 00:00:00","10-02800        ","Plywood, 3/8 Underlayment",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",22.78,227.8,"2023-02-17 00:00:00","03/03/2023 00:00:00","30-01100        ","Plaster, white (25lb bags)",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",26.21,104.84,"2023-02-17 00:00:00","03/03/2023 00:00:00","10-04700        ","Stud,Wood 1 x 12 x 8",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",7.68,23.04,"2023-02-17 00:00:00","03/03/2023 00:00:00","20-00560        ","Duplex Outlets",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",12,"Maintenance-Inventory",12.98,155.76,"2023-02-17 00:00:00",,"10-00200        ","LATEX CAULKING 1 TUBE",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",2,"Maintenance-Inventory",14.97,29.94,"2023-02-17 00:00:00","03/03/2023 00:00:00","10-00320        ","CONSTRUCTION PAPER ROLL",", "
47157   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",26.21,104.84,"2023-02-17 00:00:00","03/03/2023 00:00:00","10-04200        ","Sheetrock, White",", "
