WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt
437441,1182,"D","Work Completed","Repairs","2021-12-18 12:08:15",,"01/24/2022 12:08:00","2023-01-27 10:09:00","bp          ","1182-D VACANT/LEAD ABATEMENT       ",0,,"",0,0
437441,1182,"D","Work Completed","Repairs","2021-12-18 12:08:15",,"01/24/2022 12:08:00","2023-01-27 10:09:00",,"1182-D VACANT/LEAD ABATEMENT       ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",7650,7650
437441,1182,"D","Work Completed","Repairs","2021-12-18 12:08:15",,"01/24/2022 12:08:00","2023-01-27 10:09:00",,"1182-D VACANT/LEAD ABATEMENT       ",0,,":Tax Amount",0,0
440889,1022,"4G","Work Completed","Repairs","2022-02-11 08:47:23",,"04/03/2023 14:57:00","2023-06-02 09:42:00",,"1022/4G/VAC/REPAIRS                ",0,,":Tax Amount",0,0
440889,1022,"4G","Work Completed","Repairs","2022-02-11 08:47:23",,"04/03/2023 14:57:00","2023-06-02 09:42:00",,"1022/4G/VAC/REPAIRS                ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",31796.7,31796.7
441188,1022,"1M","Work Completed","Repairs","2022-02-15 15:32:30",,"02/16/2023 16:05:00","2023-02-27 15:54:00",,"1022-1M-3 year paint               ",1,279             ,"Prime bathroom with mildew resistant primer",160,160
441188,1022,"1M","Work Completed","Repairs","2022-02-15 15:32:30",,"02/16/2023 16:05:00","2023-02-27 15:54:00",,"1022-1M-3 year paint               ",3,801             ,"RMS   Scrape, Plaster, Paint the complete apartment with white (#160) paint.",295,885
441188,1022,"1M","Work Completed","Repairs","2022-02-15 15:32:30",,"02/16/2023 16:05:00","2023-02-27 15:54:00",,"1022-1M-3 year paint               ",3,805             ,"Two coats are required, per room",135,405
441188,1022,"1M","Work Completed","Repairs","2022-02-15 15:32:30",,"02/16/2023 16:05:00","2023-02-27 15:54:00","jbatista    ","1022-1M-3 year paint               ",0,,"",0,0
441188,1022,"1M","Work Completed","Repairs","2022-02-15 15:32:30",,"02/16/2023 16:05:00","2023-02-27 15:54:00",,"1022-1M-3 year paint               ",0,,":Tax Amount",0,0
441738,1029,"1-A54","Work Completed","Repairs","2022-02-24 08:52:00",,"03/28/2023 10:37:00","2023-03-31 13:21:00",,"1029 - A54 - Hall Ceiling Repair   ",18,,"repair ceiling to the roof",0,0
441738,1029,"1-A54","Work Completed","Repairs","2022-02-24 08:52:00",,"03/28/2023 10:37:00","2023-03-31 13:21:00","cesardls    ","1029 - A54 - Hall Ceiling Repair   ",0,,"",0,0
441738,1029,"1-A54","Work Completed","Repairs","2022-02-24 08:52:00",,"03/28/2023 10:37:00","2023-03-31 13:21:00",,"1029 - A54 - Hall Ceiling Repair   ",1,,"ADD'L CHARGES",153.9,153.9
441738,1029,"1-A54","Work Completed","Repairs","2022-02-24 08:52:00",,"03/28/2023 10:37:00","2023-03-31 13:21:00",,"1029 - A54 - Hall Ceiling Repair   ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",722,722
441738,1029,"1-A54","Work Completed","Repairs","2022-02-24 08:52:00",,"03/28/2023 10:37:00","2023-03-31 13:21:00",,"1029 - A54 - Hall Ceiling Repair   ",0,,":Tax Amount",0,0
442697,1022,"4G","Work Completed","Plumbing","2022-03-10 09:12:19",,"02/23/2023 08:12:00","2023-02-23 08:12:00",,"1022/4G/VAC/PLUMBING               ",1,"plumbing        ","PLUMBING SERVICES",10000,10000
444330,1860,"1860BOIL","Work Completed","Oil","2022-04-04 11:17:24",,"04/04/2022 11:17:00","2023-01-24 14:35:14",,"1860-BOILER REPAIR                 ",0,,,0,0
445289,1860,"1861BLDG","Work Completed","Repairs","2022-04-19 08:53:32",,"04/19/2022 08:53:00","2023-01-24 14:36:23",,"1861-BLDG-PLUMBING                 ",0,,,0,0
445426,1002,"5C","Work Completed","Repairs","2022-04-20 14:18:33",,"06/15/2022 12:36:00","2023-03-17 13:36:00",,"1002 - 5C 2 yr paint Violation     ",4,800             ,"RMS   Scrape, Plaster, Paint the complete apartment with BEIGE paint",295,1180
445426,1002,"5C","Work Completed","Repairs","2022-04-20 14:18:33",,"06/15/2022 12:36:00","2023-03-17 13:36:00",,"1002 - 5C 2 yr paint Violation     ",4,805             ,"Two coats are required, per room",135,540
445426,1002,"5C","Work Completed","Repairs","2022-04-20 14:18:33",,"06/15/2022 12:36:00","2023-03-17 13:36:00",,"1002 - 5C 2 yr paint Violation     ",1,279             ,"Prime bathroom with mildew resistant primer",160,160
445426,1002,"5C","Work Completed","Repairs","2022-04-20 14:18:33",,"06/15/2022 12:36:00","2023-03-17 13:36:00",,"1002 - 5C 2 yr paint Violation     ",0,,":Tax Amount",0,0
445426,1002,"5C","Work Completed","Repairs","2022-04-20 14:18:33",,"06/15/2022 12:36:00","2023-03-17 13:36:00","laracons    ","1002 - 5C 2 yr paint Violation     ",0,,"",0,0
446695,1029,"4-2A","Work Completed","Repairs","2022-05-11 09:15:29",,"03/15/2023 12:57:00","2023-03-15 15:14:00",,"1029 - 4-2A NYCHA paint repairs    ",1,985             ,"Scrape, plaster, paint the complete living room",325,325
446695,1029,"4-2A","Work Completed","Repairs","2022-05-11 09:15:29",,"03/15/2023 12:57:00","2023-03-15 15:14:00",,"1029 - 4-2A NYCHA paint repairs    ",1,290             ,"Regrout & recaulk bathtub tile area",215,215
446695,1029,"4-2A","Work Completed","Repairs","2022-05-11 09:15:29",,"03/15/2023 12:57:00","2023-03-15 15:14:00",,"1029 - 4-2A NYCHA paint repairs    ",0,,":Tax Amount",0,0
446695,1029,"4-2A","Work Completed","Repairs","2022-05-11 09:15:29",,"03/15/2023 12:57:00","2023-03-15 15:14:00",,"1029 - 4-2A NYCHA paint repairs    ",1,,"ADD'L CHARGES",1025,1025
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00",,"3184-6B- 3 YEAR PAINT              ",1,,"credit",-650,-650
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00",,"3184-6B- 3 YEAR PAINT              ",1,,"add'l charges",66,66
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00","jbatista    ","3184-6B- 3 YEAR PAINT              ",0,,"",0,0
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00",,"3184-6B- 3 YEAR PAINT              ",4,801             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with white (#160) paint.  (hallway/bathroom/kitchen/bedroom/living room)",325,1300
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00",,"3184-6B- 3 YEAR PAINT              ",1,170             ,"Scrape, plaster,paint the complete kitchen",325,325
447233,3184,"6B","Work Completed","Repairs","2022-05-18 12:09:56",,"09/06/2022 15:31:00","2023-02-15 15:03:00",,"3184-6B- 3 YEAR PAINT              ",1,290             ,"Regrout & recaulk bathtub tile area",215,215
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00","jortega     ","3504-2A-REAPIRS                    ",0,,"",0,0
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",5,235             ,"SQFT     Demo the bathroom ceiling",3.65,18.25
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",5,240             ,"SQFT   Repair the bathroom ceiling with sheetrock",5.75,28.75
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",1,,"SECURE BATHROOM SINK TO WALL AND CAULK AROUND BASIN, ALSO CAULK AROUND TOILET",100,100
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",1,280             ,"Scrape, plaster, paint the complete bathroom",180,180
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",1,279             ,"Prime bathroom with mildew resistant primer",175,175
448075,3504,"2A","Work Completed","Repairs","2022-06-02 11:09:37",,"06/02/2022 11:09:00","2023-01-30 12:30:00",,"3504-2A-REAPIRS                    ",1,,"OFF WHITE PAINT",0,0
449010,1367,"4F","Work Completed","Repairs","2022-06-15 16:05:57",,"03/01/2023 11:32:00","2023-05-15 11:32:00",,"1367-4F repairs proposal           ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",59382,59382
449010,1367,"4F","Work Completed","Repairs","2022-06-15 16:05:57",,"03/01/2023 11:32:00","2023-05-15 11:32:00",,"1367-4F repairs proposal           ",1,002             ,"ADD'L WORK NEEDED",4697.93,4697.93
449010,1367,"4F","Work Completed","Repairs","2022-06-15 16:05:57",,"03/01/2023 11:32:00","2023-05-15 11:32:00",,"1367-4F repairs proposal           ",1,,"Capital Improv.",0,0
452088,1704,"1C","Work Completed","Repairs","2022-08-06 09:59:38",,"08/17/2022 12:10:00","2023-01-23 12:10:00",,"1704/1C/VAC/REPAIRS                ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",9098.8,9098.8
452088,1704,"1C","Work Completed","Repairs","2022-08-06 09:59:38",,"08/17/2022 12:10:00","2023-01-23 12:10:00","rmarte      ","1704/1C/VAC/REPAIRS                ",0,,"",0,0
452088,1704,"1C","Work Completed","Repairs","2022-08-06 09:59:38",,"08/17/2022 12:10:00","2023-01-23 12:10:00",,"1704/1C/VAC/REPAIRS                ",1,,"ADD'L CHARGES",1825,1825
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-04500        ","Wall Cab 42/30",346.2,346.2
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-04000        ","Wall Cab 30/18",192.1,192.1
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-04301        ","Wall Cab 33/18",207,207
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",2,"05-03500        ","Wall Cab 21/18",153.9,307.8
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-03550        ","Wall Cab 21/30",204.7,204.7
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-02700        ","Sink Base 33",331.2,331.2
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-00500        ","Base Cabinet 30",389.9,389.9
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-00450        ","Base Cabinet 27",370.3,370.3
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-02555        ","Filler 6x84",188.6,188.6
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",2,"05-02530        ","Toe Kick",55.2,110.4
452146,3505,"5A","Work Completed","Supplies","2022-08-08 12:04:56",,"03/06/2023 11:26:00","2023-03-06 08:00:00",,"3505-5A-CABINETS                   ",1,"05-02500        ","Countertop (Custom)priced per order",517.5,517.5
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",1,120             ,"Demo the kitchen cabinets",385,385
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",1,125             ,"Install the new kitchen cabinets supplied by the super",385,385
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",1,,"F/I TOWEL RACK JUST THE BAR",25,25
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",25,100             ,"SQFT   Demo the kitchen floor.",3.65,91.25
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",25,110             ,"SQFT   Install a new kitchen floor using underlayment and VCT.",9.3,232.5
452215,3505,"5A","Work Completed","Repairs","2022-08-09 11:16:28",,"03/20/2023 11:16:00","2023-03-30 14:11:00",,"3505-5A-REPAIRS                    ",1,,"ADD'L WORK CHARGES",1526.45,1526.45
452553,1285,"1C","Work Completed","Plumbing","2022-08-15 09:48:19",,"01/15/2022 09:48:00","2023-01-18 11:38:00",,"1285-1C-HANDICAP BAR               ",1,"plumbing        ","PLUMBING SERVICES",516.6,516.6
452553,1285,"1C","Work Completed","Plumbing","2022-08-15 09:48:19",,"01/15/2022 09:48:00","2023-01-18 11:38:00",,"1285-1C-HANDICAP BAR               ",0,,":Tax Amount",0,0
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",0,,":Tax Amount",0,0
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",1,,"add'l charges",984,984
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",1,120             ,"Demo the kitchen cabinets",385,385
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",1,125             ,"Install the new kitchen cabinets supplied by the super",385,385
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",40,100             ,"SQFT   Demo the kitchen floor.",3.65,146
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",40,110             ,"SQFT   Install a new kitchen floor using underlayment and VCT.",9.3,372
452919,1084,"1086-1A","Work Completed","Repairs","2022-08-22 10:13:03",,"08/22/2022 10:13:00","2023-02-07 14:50:00",,"1086-1A-REPAIRS                    ",1,170             ,"Scrape, plaster,paint the complete kitchen",325,325
453694,1027,"2H","Work Completed","Repairs","2022-09-03 11:51:20",,"10/22/2022 11:52:00","2023-01-20 11:52:00",,"1027/2H/VAC/REPAIRS                ",1,,"ADD'L CHARGES",762,762
453694,1027,"2H","Work Completed","Repairs","2022-09-03 11:51:20",,"10/22/2022 11:52:00","2023-01-20 11:52:00","laracons    ","1027/2H/VAC/REPAIRS                ",0,,"",0,0
453694,1027,"2H","Work Completed","Repairs","2022-09-03 11:51:20",,"10/22/2022 11:52:00","2023-01-20 11:52:00",,"1027/2H/VAC/REPAIRS                ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",12216.8,12216.8
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-02100        ","Countertop 72",361.3,361.3
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-02600        ","Sink Base 30",351,351
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-00800        ","Base Cabinet 42",469.2,469.2
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-02530        ","Toe Kick",59.4,59.4
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-04100        ","Wall Cab 30/30",274.85,274.85
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-04500        ","Wall Cab 42/30",346.15,346.15
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-04000        ","Wall Cab 30/18",192.05,192.05
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",1,"05-03950        ","Wall Cab 30/15",178.25,178.25
453699,1027,"1C","Work Completed","Supplies","2022-09-03 12:52:17",,"03/13/2023 11:50:00","2023-03-13 11:50:00",,"1027/1C/VAC/CABINETS               ",0,,":Tax Amount",0,0
453975,3507,"1B","Work Completed","Repairs","2022-09-09 09:21:54",,"01/25/2023 09:21:00","2023-01-25 15:16:00","rmarte      ","3507-1b-post plum                  ",0,,"",0,0
453975,3507,"1B","Work Completed","Repairs","2022-09-09 09:21:54",,"01/25/2023 09:21:00","2023-01-25 15:16:00",,"3507-1b-post plum                  ",1,,"ADD'L CHARGES",196.2,196.2
453975,3507,"1B","Work Completed","Repairs","2022-09-09 09:21:54",,"01/25/2023 09:21:00","2023-01-25 15:16:00",,"3507-1b-post plum                  ",6,256             ,"SQ.FT. Demo the showerbody wall tiles",9.6,57.6
453975,3507,"1B","Work Completed","Repairs","2022-09-09 09:21:54",,"01/25/2023 09:21:00","2023-01-25 15:16:00",,"3507-1b-post plum                  ",6,261             ,"SQFT Repair the  ShowerBody wall with  wonderboard, 4x4 white  wall tiles, & grout",29.4,176.4
453975,3507,"1B","Work Completed","Repairs","2022-09-09 09:21:54",,"01/25/2023 09:21:00","2023-01-25 15:16:00",,"3507-1b-post plum                  ",1,,"white and yellow tile",0,0
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",1,"boiler          ","BOILER SERVICES",1800,1800
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",1,"75-00106        ","Degreaser",25,25
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",0,,":Tax Amount",0,0
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",4,"35-00621        ","Laars 3 Port Burner Tray",108,432
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",1,"35-00450        ","Sensor Wire (Ignition Wire)",4,4
454348,1701,"BOILER","Work Completed","Oil","2022-09-16 08:56:10",,"09/16/2022 08:56:00","2023-02-22 11:42:00",,"1701-BOILER-OVERHAUL               ",5,"35-00290        ","Spray Cans",13.5,67.5
454353,3504,"BOILER","Work Completed","Oil","2022-09-16 09:08:46",,"09/16/2022 09:08:00","2023-03-23 09:46:00",,"3504-BOILER-OVERHAUL               ",1,"boiler          ","BOILER SERVICES",1300,1300
454353,3504,"BOILER","Work Completed","Oil","2022-09-16 09:08:46",,"09/16/2022 09:08:00","2023-03-23 09:46:00",,"3504-BOILER-OVERHAUL               ",1,"35-0060         ","Pilot (Burner)",81,81
454353,3504,"BOILER","Work Completed","Oil","2022-09-16 09:08:46",,"09/16/2022 09:08:00","2023-03-23 09:46:00",,"3504-BOILER-OVERHAUL               ",1,"35-0020         ","Ignition Spark Wire",90,90
454353,3504,"BOILER","Work Completed","Oil","2022-09-16 09:08:46",,"09/16/2022 09:08:00","2023-03-23 09:46:00",,"3504-BOILER-OVERHAUL               ",3,"35-00290        ","Spray Cans",18,54
454353,3504,"BOILER","Work Completed","Oil","2022-09-16 09:08:46",,"09/16/2022 09:08:00","2023-03-23 09:46:00",,"3504-BOILER-OVERHAUL               ",1,"35-00257        ","32oz Degreaser Spray Nine",18,18
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",1,"boiler          ","BOILER SERVICES",1300,1300
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",1,"75-10107        ","Grease Cut",24,24
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",1,"35-00257        ","32oz Degreaser Spray Nine",18,18
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",2,"35-00290        ","Spray Cans",16,32
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",1,"35-0020         ","Ignition Spark Wire",90,90
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00",,"3505-BOILER-OVERHAUL               ",1,"35-00470        ","Pilot",81,81
454354,3505,"BOILER","Work Completed","Oil","2022-09-16 09:10:16",,"09/16/2022 09:10:00","2023-03-24 09:19:00","anunez      ","3505-BOILER-OVERHAUL               ",0,,"",0,0
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"boiler          ","BOILER SERVICES",1300,1300
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"35-0060         ","Pilot (Burner)",81,81
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"35-00450        ","Sensor Wire (Ignition Wire)",90,90
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"35-00290        ","Spray Cans",16,16
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"35-00257        ","32oz Degreaser Spray Nine",18,18
454355,3506,"BOILER","Work Completed","Oil","2022-09-16 09:11:40",,"09/16/2022 09:11:00","2023-03-28 09:22:00",,"3506-BOILER-OVERHAUL               ",1,"75-10107        ","Grease Cut",32,32
454356,3507,"BOILER","Work Completed","Oil","2022-09-16 09:12:55",,"09/16/2022 09:12:00","2023-03-28 09:42:00",,"3507-BOILER-OVERHAUL               ",1,"boiler          ","BOILER SERVICES",1300,1300
454356,3507,"BOILER","Work Completed","Oil","2022-09-16 09:12:55",,"09/16/2022 09:12:00","2023-03-28 09:42:00",,"3507-BOILER-OVERHAUL               ",2,"35-0060         ","Pilot (Burner)",81,162
454356,3507,"BOILER","Work Completed","Oil","2022-09-16 09:12:55",,"09/16/2022 09:12:00","2023-03-28 09:42:00",,"3507-BOILER-OVERHAUL               ",1,"35-00290        ","Spray Cans",16,16
