YardiMM2PODetID,PONumber,WONumber,VendorCode,Vendor,QtyOrdered,ExpenseType,UnitPrice,TotalCost,POAmount,WOAndInvoiceAmt,OrderDate,ReceivedDate,ItemCode,ItemDesc,Client,Date1,Date2
60337,49595   ,483303  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",5.39,5.39,2293.77,22285,"2024-02-14 00:00:00","2024-03-15 00:00:00","10-02300        ","Nails, Finishing #4","BX-9E PARTNERS LP, 30 EAST CLARKE PLACE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59660,49608   ,487294  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",985,985,985,1132.75,"2024-02-15 00:00:00","2024-03-05 00:00:00","material        ","Misc","HAF EDGECOMBE ASSOCIATES LP, 128-136 EDGECOMBE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59695,49634   ,487451  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",706,706,706,853.15,"2024-02-21 00:00:00","2024-03-05 00:00:00","material        ","Misc","ACADEMY COMMUNITY PARTNERSHIP, 578 ACADEMY ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
59712,49643   ,487122  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",109,109,109,720,"2024-02-21 00:00:00","2024-03-01 00:00:00","material        ","Misc","ST. ANNS APARTMENTS LLC, 1061 INTERVALE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59725,49652   ,487637  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",1576,1576,1576,1970.3,"2024-02-22 00:00:00","2024-03-05 00:00:00","material        ","Misc","HAF EDGECOMBE ASSOCIATES LP, 128-136 EDGECOMBE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59757,49657   ,485169  ,"hea2        ","HEATING & BURNER SUPPLY, INC.",1,"Boiler-COGS",1062.62,1062.62,1217.77,4200,"2024-02-23 00:00:00","2024-03-01 00:00:00","material        ","Misc","1695 TOPPING AVENUE LLC, 1695 TOPPING AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59915,49657   ,485169  ,"hea2        ","HEATING & BURNER SUPPLY, INC.",1,"Boiler-COGS",155.15,155.15,1217.77,4200,"2024-02-23 00:00:00","2024-03-01 00:00:00","material        ","Misc","1695 TOPPING AVENUE LLC, 1695 TOPPING AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60162,49663   ,487568  ,"hea2        ","HEATING & BURNER SUPPLY, INC.",1,"Boiler-COGS",554.17,554.17,1370.73,3560,"2024-02-23 00:00:00","2024-03-15 00:00:00","material        ","Misc","230 SEAMAN ASSOCIATES LLC, 230 SEAMAN AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59788,49674   ,475380  ,"hom2        ","HOME DEPOT CREDIT SERVICES",25,"Maintenance-Inventory",8.97,224.25,418.6,37560,"2024-02-26 00:00:00","2024-03-05 00:00:00","50-00500        ","Sheetrock, Wonderboard","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
59811,49674   ,475380  ,"hom2        ","HOME DEPOT CREDIT SERVICES",30,"Maintenance-Inventory",6.27,188.1,418.6,37560,"2024-02-26 00:00:00","2024-03-05 00:00:00","10-00330        ","CORNERBEADS","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
59812,49674   ,475380  ,"hom2        ","HOME DEPOT CREDIT SERVICES",1,"Maintenance-Inventory",32.28,32.28,418.6,37560,"2024-02-26 00:00:00","2024-03-05 00:00:00","10-03850        ","SHEETROCK SCREWS 1 5/8'' FINE/ LB","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
59794,49680   ,,"fww         ","F.W. Webb Company",1,"Plumbing-Inventory",870.01,870.01,870.01,0,"2024-02-26 00:00:00","2024-05-21 00:00:00","material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59815,49691   ,488203  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",235,235,235,270.25,"2024-02-27 00:00:00","2024-03-07 00:00:00","material        ","Misc","EAST CLARKE PLACE ASSOCIATES II LLC, 15 EAST CLARKE PLACE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59917,49695   ,488186  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",80.52,80.52,658.9,3480,"2024-02-28 00:00:00","2024-03-05 00:00:00","material        ","Misc","SOUNDVIEW SENIOR HOUSING LLC, 391 BRONX RIVER AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59828,49696   ,488202  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",655,655,655,753.25,"2024-02-28 00:00:00","2024-03-14 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 678 EAST 138 STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59839,49705   ,488331  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",160,160,160,216,"2024-02-29 00:00:00","2024-03-14 00:00:00","material        ","Misc","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59842,49708   ,488247  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",359.3,359.3,359.3,1243,"2024-02-29 00:00:00","2024-03-04 00:00:00","material        ","Misc","12-16 ARDEN ASSOCIATES, LLC, 12-16 ARDEN STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
62800,49709   ,487688  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",656.66,656.66,903.07,14850,"2024-02-29 00:00:00","2024-09-30 00:00:00","material        ","Misc","52 ARDEN ASSOCIATES LLC, 52 ARDEN ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
60082,49709   ,487688  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",863.8,863.8,903.07,14850,"2024-02-29 00:00:00","2024-03-04 00:00:00","material        ","Misc","52 ARDEN ASSOCIATES LLC, 52 ARDEN ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
59846,49712   ,488266  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",145.63,145.63,145.63,720,"2024-02-29 00:00:00","2024-03-04 00:00:00","material        ","Misc","PROSPECT DEVELOPMENT GROUP L.P, 1418 PROSPECT AVE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59847,49713   ,488337  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",840,840,840,1078.25,"2024-02-29 00:00:00","2024-03-14 00:00:00","material        ","Misc","83 POST AVENUE ASSOCIATES, 685 ACADEMY STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59853,49714   ,488389  ,"rit1        ","RITZ PAINT",1,"Maintenance-COGS",274.95,274.95,274.95,424.99,"2024-03-01 00:00:00","2024-03-01 00:00:00","material        ","Misc","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59854,49715   ,482634  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",237.53,237.53,237.53,9258,"2024-03-01 00:00:00","2024-03-01 00:00:00","material        ","Misc","FLEETWOOD ASSOCIATES, LP, 1361 COLLEGE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59855,49716   ,488424  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",54.17,54.17,148.24,718,"2024-03-01 00:00:00","2024-03-01 00:00:00","material        ","Misc","KAMOL ASSOCIATES LP, 509 WEST 179TH STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
60081,49716   ,488424  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",94.07,94.07,148.24,718,"2024-03-01 00:00:00","2024-03-04 00:00:00","material        ","Misc","KAMOL ASSOCIATES LP, 509 WEST 179TH STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59856,49717   ,488450  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",615,615,615,756.25,"2024-03-01 00:00:00","2024-03-14 00:00:00","material        ","Misc","83 POST AVENUE ASSOCIATES, 685 ACADEMY STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59857,49718   ,488342  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",243.01,243.01,243.01,1200,"2024-03-01 00:00:00","2024-03-04 00:00:00","material        ","Misc","BRONXWOOD ASSOCIATES, 800 EAST 223RD STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59859,49719   ,488402  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",2315,2315,2315,2711.25,"2024-03-01 00:00:00","2024-03-14 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 660 ST. ANNS AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59860,49720   ,485001  ,"rit1        ","RITZ PAINT",1,"Canceled",100,100,100,9869.6,"2024-03-01 00:00:00",,"material        ","Misc","AZOIC ASSOCIATES LLC, 2653 FREDERICK DOUGLASS BLVD","2024-03-01 00:00:00","2025-05-01 00:00:00"
59861,49721   ,485001  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",28.74,28.74,28.74,9869.6,"2024-03-04 00:00:00","2024-03-01 00:00:00","material        ","Misc","AZOIC ASSOCIATES LLC, 2653 FREDERICK DOUGLASS BLVD","2024-03-01 00:00:00","2025-05-01 00:00:00"
59862,49722   ,485816  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",80.97,80.97,80.97,939,"2024-03-04 00:00:00","2024-03-05 00:00:00","material        ","Misc","230 SEAMAN ASSOCIATES LLC, 230 SEAMAN AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59863,49723   ,482775  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",38.57,38.57,38.57,7596,"2024-03-04 00:00:00","2024-03-01 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 223-227 CYPRESS AVENUE AKA 649 EAST 137 STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59864,49724   ,488312  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",239.53,239.53,239.53,1600,"2024-03-04 00:00:00","2024-09-02 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 1034 AVENUE ST.JOHN","2024-03-01 00:00:00","2025-05-01 00:00:00"
59865,49725   ,488319  ,"cen1        ","Century Maintenance",1,"Canceled",58.78,58.78,58.78,800,"2024-03-04 00:00:00","2024-03-05 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 1044 AVENUE ST. JOHN","2024-03-01 00:00:00","2025-05-01 00:00:00"
59866,49726   ,488323  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",972.19,972.19,972.19,2500,"2024-03-04 00:00:00","2024-03-04 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 660-666 SOUTHERN BOULEVARD","2024-03-01 00:00:00","2025-05-01 00:00:00"
59867,49727   ,488198  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",329.38,329.38,158.37,520,"2024-03-04 00:00:00","2024-03-04 00:00:00","material        ","Misc","East Tremont LLC, 1920 Washington Ave","2024-03-01 00:00:00","2025-05-01 00:00:00"
59930,49727   ,488198  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",-171.01,-171.01,158.37,520,"2024-03-04 00:00:00","2024-03-01 00:00:00","material        ","Misc","East Tremont LLC, 1920 Washington Ave","2024-03-01 00:00:00","2025-05-01 00:00:00"
59868,49728   ,488448  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",52.76,52.76,52.76,454,"2024-03-04 00:00:00","2024-03-04 00:00:00","material        ","Misc","FLEETWOOD ASSOCIATES, LP, 1361 COLLEGE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59869,49729   ,488468  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",549.05,549.05,549.05,2412,"2024-03-04 00:00:00","2024-03-04 00:00:00","material        ","Misc","PROSPECT DEVELOPMENT GROUP L.P, 1418 PROSPECT AVE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59870,49730   ,488493  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",630.79,630.79,630.79,2300,"2024-03-04 00:00:00","2024-03-05 00:00:00","material        ","Misc","1880 Boston Road Apartments LLC, 1880 Boston Road","2024-03-01 00:00:00","2025-05-01 00:00:00"
59871,49731   ,488545  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",247.64,247.64,247.64,720,"2024-03-04 00:00:00","2024-03-04 00:00:00","material        ","Misc","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","2024-03-01 00:00:00","2025-05-01 00:00:00"
59872,49732   ,488493  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",162.63,162.63,162.63,2300,"2024-03-05 00:00:00","2024-03-06 00:00:00","material        ","Misc","1880 Boston Road Apartments LLC, 1880 Boston Road","2024-03-01 00:00:00","2025-05-01 00:00:00"
59884,49733   ,488567  ,"ranger      ","Ranger Supply Co.",1,"Maintenance-COGS",712.67,712.67,712.67,3610.95,"2024-03-05 00:00:00","2024-03-05 00:00:00","material        ","Misc","83 POST AVENUE ASSOCIATES, 685 ACADEMY STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59896,49734   ,488610  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",185.27,185.27,185.27,715,"2024-03-05 00:00:00","2024-03-05 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 357 EAST 150TH STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59897,49735   ,488574  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",309.64,309.64,309.64,985,"2024-03-05 00:00:00","2024-03-06 00:00:00","material        ","Misc","555-565 ASSOCIATES LLC, 555-565 FORT WASHINGTON AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59898,49736   ,488654  ,"fww         ","F.W. Webb Company",1,"Plumbing-COGS",188.02,188.02,188.02,645.34,"2024-03-05 00:00:00","2024-03-06 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 1033-1037 AVENUE SAINT JOHN","2024-03-01 00:00:00","2025-05-01 00:00:00"
59899,49737   ,,"fww         ","F.W. Webb Company",1,"Canceled",200,200,200,0,"2024-03-05 00:00:00",,"material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59900,49738   ,488743  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",3402,3402,3402,3965.5,"2024-03-05 00:00:00","2024-04-09 00:00:00","material        ","Misc","FLEETWOOD ASSOCIATES LP, 1335 COLLEGE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59901,49739   ,488719  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",522,522,522,671.95,"2024-03-05 00:00:00","2024-03-14 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 647 EAST 138 STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59902,49740   ,486977  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",94.5,94.5,94.5,425,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc","AZURE HOLDINGS II LP, 226 WEST 144 STREET","2024-03-01 00:00:00","2025-05-01 00:00:00"
59903,49741   ,,"ranger      ","Ranger Supply Co.",1,"Plumbing-Inventory",1839.92,1839.92,1839.92,0,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59904,49742   ,487453  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",242.82,242.82,242.82,1300,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc","ACADEMY COMMUNITY PARTNERSHIP, 578 ACADEMY ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
59905,49743   ,,"rit1        ","RITZ PAINT",1,"Maintenance-Inventory",394,394,394,0,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59906,49744   ,488651  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",170.11,170.11,170.11,640,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc","52 ARDEN ASSOCIATES LLC, 52 ARDEN ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
59907,49745   ,488723  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",211.44,211.44,507.49,950,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc","506 ASSOCIATES LLC, 506 FORT WASHINGTON AVE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60001,49745   ,488723  ,"ranger      ","Ranger Supply Co.",1,"Plumbing-COGS",296.05,296.05,507.49,950,"2024-03-06 00:00:00","2024-03-06 00:00:00","material        ","Misc","506 ASSOCIATES LLC, 506 FORT WASHINGTON AVE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60296,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",-10,"Maintenance-Inventory",12.6,-126,1827.5,0,"2024-03-06 00:00:00","2024-04-02 00:00:00","50-01350        ","TILE, 3X6 DALTILE #0100",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59908,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",12.6,126,1827.5,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","50-01350        ","TILE, 3X6 DALTILE #0100",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59909,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",10.55,211,1827.5,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","50-04200        ","12 X 12 WHITE FLOOR TILES/SQ FT   11sqft/box",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59910,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",40,"Maintenance-Inventory",26.97,1078.8,1827.5,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59911,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",15,"Maintenance-Inventory",13.42,201.3,1827.5,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","50-01400        ","Tile, Ceramic Wall 4x4(96 case)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59912,49746   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",12.87,257.4,1827.5,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","50-02750        ","TILE, GLUE CERAMIC",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59916,49748   ,,"fww         ","F.W. Webb Company",1,"Plumbing-Inventory",263.92,263.92,263.92,0,"2024-03-06 00:00:00","2024-03-12 00:00:00","material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59918,49749   ,,"cro1        ","CROWN JANITORIAL",10,"Maintenance-Inventory",32.78,327.8,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-04551        ","Deodorant, lavender (5 gallon containers)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59919,49749   ,,"cro1        ","CROWN JANITORIAL",15,"Maintenance-Inventory",32.85,492.75,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-04552        ","Deodorant, rain forest (5 gallon containers)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59920,49749   ,,"cro1        ","CROWN JANITORIAL",15,"Maintenance-Inventory",32.85,492.75,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-04553        ","Deodrant, island tropic (5 gallon containers)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59921,49749   ,,"cro1        ","CROWN JANITORIAL",168,"Maintenance-Inventory",4.45,747.6,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-03850        ","Bleach, 1 gallon",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59922,49749   ,,"cro1        ","CROWN JANITORIAL",24,"Maintenance-Inventory",9.01,216.24,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-04400        ","Cleaner, Window",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59923,49749   ,,"cro1        ","CROWN JANITORIAL",180,"Maintenance-Inventory",1.38,248.4,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-06125        ","Paper Towels 1 Roll",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59924,49749   ,,"cro1        ","CROWN JANITORIAL",20,"Maintenance-Inventory",4.62,92.4,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-00250        ","Ammonia, 1 gallon",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59925,49749   ,,"cro1        ","CROWN JANITORIAL",15,"Maintenance-Inventory",48.9,733.5,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-04650        ","Floor Stripper, 5 gallon",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59926,49749   ,,"cro1        ","CROWN JANITORIAL",125,"Maintenance-Inventory",4.6,575,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-00776        ","BAGS, MATTRESS (KING/QUEEN)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59927,49749   ,,"cro1        ","CROWN JANITORIAL",150,"Maintenance-Inventory",2.81,421.5,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-00775        ","BAGS, MATTRESS (TWIN/FULL)",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59928,49749   ,,"cro1        ","CROWN JANITORIAL",140,"Maintenance-Inventory",28.06,3928.4,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","40-00550        ","Bags, 45 XXH Small",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59929,49749   ,,"cro1        ","CROWN JANITORIAL",1,"Maintenance-Inventory",-0.01,-0.01,8276.33,0,"2024-03-06 00:00:00","2024-03-11 00:00:00","material        ","Misc",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
59932,49750   ,,"ff1         ","F&F HARDWARE AND SUPPLY. INC.",90,"Maintenance-Inventory",49.5,4455,8460,0,"2024-03-06 00:00:00","2024-03-07 00:00:00","40-04240        ","Alarm, carbon monoxide/smoke electric",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
