PONumber,WONumber,vendorCode,iQtyOrdered,ExpenseType,dUnitPrice,dTotalCost,dtordereddate,dtReceivedDate,stkcode,sDesc
47919   ,469942  ,"gol12",2,"Maintenance-COGS",264,528,"2023-05-25 00:00:00","06/15/2023 00:00:00","05-00400        ","Base Cabinet 24"
47813   ,468642  ,"gol12",2,"Maintenance-COGS",264,528,"2023-05-12 00:00:00","06/15/2023 00:00:00","05-00400        ","Base Cabinet 24"
47901   ,470171  ,"gol12",1,"Maintenance-COGS",248,248,"2023-05-24 00:00:00","06/15/2023 00:00:00","05-00400        ","Base Cabinet 24"
1199    ,,"lem5",1,"XLegacyX",170.76,170.76,"2004-01-09 00:00:00",,"05-00400        ","Base Cabinet 24"
646     ,,"lem5",1,"XLegacyX",170.76,170.76,"2003-12-09 00:00:00",,"05-00400        ","Base Cabinet 24"
984     ,,"lem5",1,"XLegacyX",170.76,170.76,"2003-12-19 00:00:00",,"05-00400        ","Base Cabinet 24"
924     ,,"lem5",1,"XLegacyX",170.76,170.76,"2003-12-16 00:00:00",,"05-00400        ","Base Cabinet 24"
925     ,,"lem5",1,"XLegacyX",170.76,170.76,"2003-12-16 00:00:00",,"05-00400        ","Base Cabinet 24"
382     ,,"lem5",1,"XLegacyX",170.76,170.76,"2003-11-19 00:00:00",,"05-00400        ","Base Cabinet 24"
1353    ,,"lem5",1,"XLegacyX",170.76,170.76,"2004-01-20 00:00:00",,"05-00400        ","Base Cabinet 24"
1684    ,,"lem5",1,"XLegacyX",170.76,170.76,"2004-02-11 00:00:00",,"05-00400        ","Base Cabinet 24"
46702   ,460467  ,"gol12",1,"Payables",264,264,"2022-12-20 00:00:00","01/06/2023 00:00:00","05-00400        ","Base Cabinet 24"
47417   ,465350  ,"gol12",2,"Canceled",1,2,"2023-03-22 00:00:00",,"05-00400        ","Base Cabinet 24"
1677    ,,"lem5",1,"XLegacyX",179.36,179.36,"2004-02-11 00:00:00",,"05-00450        ","Base Cabinet 27"
440     ,,"lem5",1,"XLegacyX",179.36,179.36,"2003-11-24 00:00:00",,"05-00450        ","Base Cabinet 27"
47597   ,466683  ,"gol12",1,"Maintenance-COGS",322,322,"2023-04-14 00:00:00","04/20/2023 00:00:00","05-00450        ","Base Cabinet 27"
41616   ,415982  ,"gol12",1,"Alltype Expense",264,264,"2021-01-15 00:00:00",,"05-00450        ","Base Cabinet 27"
47507   ,466926  ,"gol12",1,"Maintenance-COGS",322,322,"2023-03-31 00:00:00","05/09/2023 00:00:00","05-00450        ","Base Cabinet 27"
46798   ,460982  ,"gol12",1,"Maintenance-COGS",322,322,"2023-01-04 00:00:00","01/31/2023 00:00:00","05-00450        ","Base Cabinet 27"
46798   ,460982  ,"gol12",1,"Maintenance-COGS",339,339,"2023-01-04 00:00:00","01/31/2023 00:00:00","05-00500        ","Base Cabinet 30"
47070   ,462548  ,"gol12",1,"Maintenance-COGS",331.37,331.37,"2023-02-06 00:00:00","03/03/2023 00:00:00","05-00500        ","Base Cabinet 30"
47373   ,466368  ,"gol12",1,"Maintenance-COGS",339,339,"2023-03-16 00:00:00","03/28/2023 00:00:00","05-00500        ","Base Cabinet 30"
48009   ,471246  ,"gol12",1,"Maintenance-COGS",339,339,"2023-06-13 00:00:00","07/03/2023 00:00:00","05-00500        ","Base Cabinet 30"
41460   ,414259  ,"gol12",1,"Alltype Expense",278,278,"2020-12-14 00:00:00",,"05-00500        ","Base Cabinet 30"
41748   ,417456  ,"gol12",2,"Alltype Expense",278,556,"2021-02-04 00:00:00",,"05-00500        ","Base Cabinet 30"
43202   ,428290  ,"gol12",1,"Payables",292,292,"2021-07-29 00:00:00",,"05-00500        ","Base Cabinet 30"
471     ,,"lem5",1,"XLegacyX",185.8,185.8,"2003-11-25 00:00:00",,"05-00500        ","Base Cabinet 30"
953     ,,"lem5",1,"XLegacyX",185.8,185.8,"2003-12-17 00:00:00",,"05-00500        ","Base Cabinet 30"
1578    ,,"lem5",1,"XLegacyX",185.8,185.8,"2004-02-03 00:00:00",,"05-00500        ","Base Cabinet 30"
982     ,,"lem5",2,"XLegacyX",194.04,388.08,"2003-12-19 00:00:00",,"05-00600        ","Base Cabinet 33"
609     ,,"lem5",2,"XLegacyX",194.04,388.08,"2003-12-05 00:00:00",,"05-00600        ","Base Cabinet 33"
33      ,,"lem5",1,"XLegacyX",1,1,"2003-11-03 00:00:00",,"05-00600        ","Base Cabinet 33"
41896   ,413204  ,"gol12",1,"Alltype Expense",0.01,0.01,"2021-02-17 00:00:00",,"05-00600        ","Base Cabinet 33"
628     ,,"lem5",1,"XLegacyX",194.04,194.04,"2003-12-08 00:00:00",,"05-00600        ","Base Cabinet 33"
47373   ,466368  ,"gol12",1,"Maintenance-COGS",359,359,"2023-03-16 00:00:00","03/28/2023 00:00:00","05-00600        ","Base Cabinet 33"
47507   ,466926  ,"gol12",2,"Maintenance-COGS",359,718,"2023-03-31 00:00:00","05/09/2023 00:00:00","05-00600        ","Base Cabinet 33"
47802   ,469266  ,"gol12",1,"Maintenance-COGS",359,359,"2023-05-11 00:00:00","05/24/2023 00:00:00","05-00600        ","Base Cabinet 33"
3014    ,,"gol12",1,"XLegacyX",203.11,203.11,"2004-09-21 00:00:00",,"05-00700        ","Base Cabinet 36"
166     ,,"lem5",1,"XLegacyX",1,1,"2003-11-11 00:00:00",,"05-00700        ","Base Cabinet 36"
46702   ,460467  ,"gol12",1,"Payables",374,374,"2022-12-20 00:00:00","01/06/2023 00:00:00","05-00700        ","Base Cabinet 36"
511     ,,"lem5",1,"XLegacyX",203.11,203.11,"2003-12-01 00:00:00",,"05-00700        ","Base Cabinet 36"
255     ,,"lem5",1,"XLegacyX",203.11,203.11,"2003-11-14 00:00:00",,"05-00700        ","Base Cabinet 36"
1364    ,,"lem5",1,"XLegacyX",203.11,203.11,"2004-01-20 00:00:00",,"05-00700        ","Base Cabinet 36"
47802   ,469266  ,"gol12",1,"Maintenance-COGS",393,393,"2023-05-11 00:00:00","05/24/2023 00:00:00","05-00750        ","Base Cabinet 39"
47082   ,463094  ,"gol12",1,"Maintenance-COGS",332,332,"2023-02-07 00:00:00","02/17/2023 00:00:00","05-00800        ","Base Cabinet 42"
1324    ,,"lem5",1,"XLegacyX",221.65,221.65,"2004-01-19 00:00:00",,"05-00800        ","Base Cabinet 42"
1155    ,,"lem5",1,"XLegacyX",221.65,221.65,"2004-01-08 00:00:00",,"05-00800        ","Base Cabinet 42"
26      ,,"lem5",1,"XLegacyX",1,1,"2003-11-03 00:00:00",,"05-00800        ","Base Cabinet 42"
1433    ,,"lem5",1,"XLegacyX",221.65,221.65,"2004-01-26 00:00:00",,"05-00800        ","Base Cabinet 42"
1353    ,,"lem5",1,"XLegacyX",271.91,271.91,"2004-01-20 00:00:00",,"05-00900        ","Base Cabinet 48"
509     ,,"lem5",1,"XLegacyX",271.91,271.91,"2003-12-01 00:00:00",,"05-00900        ","Base Cabinet 48"
41437   ,413905  ,"gol12",1,"Alltype Expense",362,362,"2020-12-09 00:00:00",,"05-00900        ","Base Cabinet 48"
232     ,,"lem5",1,"XLegacyX",1,1,"2003-11-13 00:00:00",,"05-00900        ","Base Cabinet 48"
364     ,,"lem5",1,"XLegacyX",280.58,280.58,"2003-11-18 00:00:00",,"05-00901        ","Base Cabinet 48"
47420   ,466622  ,"gol12",1,"Canceled",410.4,410.4,"2023-03-22 00:00:00",,"05-00930        ","Blind Base Cabinet BLB 42/45"
47070   ,462548  ,"gol12",1,"Maintenance-COGS",348.84,348.84,"2023-02-06 00:00:00","03/03/2023 00:00:00","05-00930        ","Blind Base Cabinet BLB 42/45"
47386   ,466448  ,"gol12",1,"Maintenance-COGS",294,294,"2023-03-17 00:00:00","03/28/2023 00:00:00","05-00930        ","Blind Base Cabinet BLB 42/45"
963     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-18 00:00:00",,"05-01100        ","Countertop 18"
528     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-02 00:00:00",,"05-01200        ","Countertop 24"
924     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-16 00:00:00",,"05-01200        ","Countertop 24"
984     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-19 00:00:00",,"05-01200        ","Countertop 24"
47682   ,467978  ,"gol12",1,"Maintenance-COGS",10,10,"2023-04-25 00:00:00","05/23/2023 00:00:00","05-01200        ","Countertop 24"
233     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-11-13 00:00:00",,"05-01200        ","Countertop 24"
1260    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-14 00:00:00",,"05-01250        ","Countertop 27"
440     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-11-24 00:00:00",,"05-01250        ","Countertop 27"
1410    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-22 00:00:00",,"05-01300        ","Countertop 30"
1410    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-22 00:00:00",,"05-01300        ","Countertop 30"
2877    ,,"gol12",1,"XLegacyX",71.72,71.72,"2004-09-01 00:00:00",,"05-01300        ","Countertop 30"
609     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-05 00:00:00",,"05-01400        ","Countertop 33"
41141   ,410812  ,"gol12",1,"Alltype Expense",89.85,89.85,"2020-10-20 00:00:00",,"05-01400        ","Countertop 33"
47507   ,466926  ,"gol12",1,"Maintenance-COGS",180,180,"2023-03-31 00:00:00","05/09/2023 00:00:00","05-01400        ","Countertop 33"
47967   ,470790  ,"gol12",1,"Maintenance-COGS",145,145,"2023-06-06 00:00:00","06/15/2023 00:00:00","05-01500        ","Countertop 36"
47886   ,469813  ,"gol12",1,"Maintenance-COGS",145,145,"2023-05-23 00:00:00","06/15/2023 00:00:00","05-01500        ","Countertop 36"
511     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-01 00:00:00",,"05-01500        ","Countertop 36"
1364    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-20 00:00:00",,"05-01500        ","Countertop 36"
1176    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-08 00:00:00",,"05-01500        ","Countertop 36"
1278    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-15 00:00:00",,"05-01600        ","Countertop 42"
1355    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-20 00:00:00",,"05-01600        ","Countertop 42"
1615    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-02-05 00:00:00",,"05-01600        ","Countertop 42"
1617    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-02-05 00:00:00",,"05-01600        ","Countertop 42"
1621    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-02-05 00:00:00",,"05-01600        ","Countertop 42"
992     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-22 00:00:00",,"05-01600        ","Countertop 42"
1129    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-06 00:00:00",,"05-01600        ","Countertop 42"
433     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-11-24 00:00:00",,"05-01600        ","Countertop 42"
1433    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-26 00:00:00",,"05-01600        ","Countertop 42"
26      ,,"lem5",1,"XLegacyX",1,1,"2003-11-03 00:00:00",,"05-01600        ","Countertop 42"
1159    ,,"lem5",1,"XLegacyX",1,1,"2004-01-08 00:00:00",,"05-01600        ","Countertop 42"
131     ,,"lem5",1,"XLegacyX",1,1,"2003-11-07 00:00:00",,"05-01600        ","Countertop 42"
1596    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-02-04 00:00:00",,"05-01600        ","Countertop 42"
940     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-17 00:00:00",,"05-01600        ","Countertop 42"
47701   ,468686  ,"gol12",1,"Maintenance-COGS",180,180,"2023-04-26 00:00:00","05/23/2023 00:00:00","05-01600        ","Countertop 42"
47082   ,463094  ,"gol12",8,"Maintenance-COGS",45,360,"2023-02-07 00:00:00","02/17/2023 00:00:00","05-01600        ","Countertop 42"
47055   ,462925  ,"gol12",1,"Maintenance-COGS",190,190,"2023-02-03 00:00:00","04/25/2023 00:00:00","05-01600        ","Countertop 42"
46803   ,461252  ,"gol12",1,"Maintenance-COGS",332,332,"2023-01-04 00:00:00","01/31/2023 00:00:00","05-01600        ","Countertop 42"
47189   ,463641  ,"gol12",1,"Maintenance-COGS",190,190,"2023-02-22 00:00:00",,"05-01650        ","Countertop 48"
47570   ,466061  ,"gol12",1,"Maintenance-COGS",190,190,"2023-04-12 00:00:00","04/21/2023 00:00:00","05-01650        ","Countertop 48"
47919   ,469942  ,"gol12",1,"Maintenance-COGS",370,370,"2023-05-25 00:00:00","06/15/2023 00:00:00","05-01650        ","Countertop 48"
41455   ,414343  ,"gol12",1,"Alltype Expense",119.8,119.8,"2020-12-14 00:00:00",,"05-01650        ","Countertop 48"
41437   ,413905  ,"gol12",2,"Alltype Expense",119.8,239.6,"2020-12-09 00:00:00",,"05-01650        ","Countertop 48"
232     ,,"lem5",1,"XLegacyX",1,1,"2003-11-13 00:00:00",,"05-01650        ","Countertop 48"
238     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-11-13 00:00:00",,"05-01650        ","Countertop 48"
550     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-02 00:00:00",,"05-01650        ","Countertop 48"
628     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-08 00:00:00",,"05-01650        ","Countertop 48"
73      ,,"lem5",1,"XLegacyX",1,1,"2003-11-05 00:00:00",,"05-01650        ","Countertop 48"
159     ,,"lem5",1,"XLegacyX",1,1,"2003-11-10 00:00:00",,"05-01650        ","Countertop 48"
1586    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-02-03 00:00:00",,"05-01650        ","Countertop 48"
61      ,,"lem5",1,"XLegacyX",76,76,"2003-11-05 00:00:00",,"05-01650        ","Countertop 48"
982     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-19 00:00:00",,"05-01650        ","Countertop 48"
509     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-01 00:00:00",,"05-01650        ","Countertop 48"
517     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-01 00:00:00",,"05-01650        ","Countertop 48"
541     ,,"lem5",1,"XLegacyX",91.6,91.6,"2003-12-02 00:00:00",,"05-01650        ","Countertop 48"
1677    ,,"lem5",1,"XLegacyX",1,1,"2004-02-11 00:00:00",,"05-01650        ","Countertop 48"
1677    ,,"lem5",1,"XLegacyX",1,1,"2004-02-11 00:00:00",,"05-01650        ","Countertop 48"
1353    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-20 00:00:00",,"05-01650        ","Countertop 48"
1474    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-27 00:00:00",,"05-01650        ","Countertop 48"
1202    ,,"lem5",1,"XLegacyX",91.6,91.6,"2004-01-09 00:00:00",,"05-01650        ","Countertop 48"
1364    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-20 00:00:00",,"05-01700        ","Countertop 52"
1353    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-20 00:00:00",,"05-01800        ","Countertop 54"
1684    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-11 00:00:00",,"05-01800        ","Countertop 54"
1199    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-09 00:00:00",,"05-01800        ","Countertop 54"
41616   ,415982  ,"gol12",1,"Alltype Expense",149.75,149.75,"2021-01-15 00:00:00",,"05-01800        ","Countertop 54"
41572   ,415170  ,"gol12",1,"Alltype Expense",0.01,0.01,"2021-01-08 00:00:00",,"05-01800        ","Countertop 54"
42027   ,419130  ,"gol12",1,"Alltype Expense",149.75,149.75,"2021-03-05 00:00:00",,"05-01900        ","Countertop 60"
41748   ,417456  ,"gol12",1,"Alltype Expense",149.75,149.75,"2021-02-04 00:00:00",,"05-01900        ","Countertop 60"
41790   ,417632  ,"gol12",1,"Alltype Expense",149.75,149.75,"2021-02-08 00:00:00",,"05-01900        ","Countertop 60"
43202   ,428290  ,"gol12",1,"Payables",174.7,174.7,"2021-07-29 00:00:00",,"05-01900        ","Countertop 60"
45137   ,,"gol12",1,"Payables",944.95,944.95,"2022-04-28 00:00:00",,"05-01900        ","Countertop 60"
1192    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-09 00:00:00",,"05-01900        ","Countertop 60"
41460   ,414259  ,"gol12",1,"Alltype Expense",149.75,149.75,"2020-12-14 00:00:00",,"05-01900        ","Countertop 60"
621     ,,"lem5",1,"XLegacyX",1,1,"2003-12-05 00:00:00",,"05-01900        ","Countertop 60"
616     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-12-05 00:00:00",,"05-01900        ","Countertop 60"
620     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-12-05 00:00:00",,"05-01900        ","Countertop 60"
47901   ,470171  ,"gol12",1,"Maintenance-COGS",280,280,"2023-05-24 00:00:00","06/15/2023 00:00:00","05-01900        ","Countertop 60"
47791   ,469292  ,"gol12",1,"Maintenance-COGS",505,505,"2023-05-10 00:00:00","06/15/2023 00:00:00","05-01900        ","Countertop 60"
47682   ,467978  ,"gol12",1,"Maintenance-COGS",360,360,"2023-04-25 00:00:00","05/23/2023 00:00:00","05-01900        ","Countertop 60"
47387   ,466232  ,"gol12",1,"Maintenance-COGS",235,235,"2023-03-17 00:00:00","03/28/2023 00:00:00","05-01900        ","Countertop 60"
46798   ,460982  ,"gol12",1,"Maintenance-COGS",273,273,"2023-01-04 00:00:00","01/31/2023 00:00:00","05-01900        ","Countertop 60"
48009   ,471246  ,"gol12",1,"Maintenance-COGS",235,235,"2023-06-13 00:00:00","07/03/2023 00:00:00","05-01900        ","Countertop 60"
48237   ,473459  ,"gol12",1,"Maintenance-COGS",235,235,"2023-07-25 00:00:00","08/09/2023 00:00:00","05-01900        ","Countertop 60"
1682    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-11 00:00:00",,"05-01900        ","Countertop 60"
1679    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-11 00:00:00",,"05-01900        ","Countertop 60"
1212    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-12 00:00:00",,"05-01900        ","Countertop 60"
1294    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-01-15 00:00:00",,"05-01900        ","Countertop 60"
654     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-12-10 00:00:00",,"05-01900        ","Countertop 60"
1010    ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-12-23 00:00:00",,"05-01900        ","Countertop 60"
917     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-12-16 00:00:00",,"05-01900        ","Countertop 60"
209     ,,"lem5",1,"XLegacyX",1,1,"2003-11-12 00:00:00",,"05-01900        ","Countertop 60"
438     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-11-24 00:00:00",,"05-01900        ","Countertop 60"
440     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-11-24 00:00:00",,"05-01900        ","Countertop 60"
471     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-11-25 00:00:00",,"05-01900        ","Countertop 60"
371     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-11-18 00:00:00",,"05-01900        ","Countertop 60"
1578    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-03 00:00:00",,"05-01900        ","Countertop 60"
1599    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-04 00:00:00",,"05-01900        ","Countertop 60"
1591    ,,"lem5",1,"XLegacyX",110.35,110.35,"2004-02-04 00:00:00",,"05-01900        ","Countertop 60"
127     ,,"lem5",1,"XLegacyX",1,1,"2003-11-07 00:00:00",,"05-01900        ","Countertop 60"
442     ,,"lem5",1,"XLegacyX",110.35,110.35,"2003-11-24 00:00:00",,"05-01900        ","Countertop 60"
22615   ,,"gol12",1,"XLegacyX",1,1,"2013-03-13 00:00:00",,"05-01900        ","Countertop 60"
982     ,,"lem5",1,"XLegacyX",129.82,129.82,"2003-12-19 00:00:00",,"05-02000        ","Countertop 66"
609     ,,"lem5",1,"XLegacyX",129.82,129.82,"2003-12-05 00:00:00",,"05-02000        ","Countertop 66"
255     ,,"lem5",1,"XLegacyX",129.82,129.82,"2003-11-14 00:00:00",,"05-02100        ","Countertop 72"
166     ,,"lem5",1,"XLegacyX",1,1,"2003-11-11 00:00:00",,"05-02100        ","Countertop 72"
1155    ,,"lem5",1,"XLegacyX",129.82,129.82,"2004-01-08 00:00:00",,"05-02100        ","Countertop 72"
421     ,,"lem5",1,"XLegacyX",129.82,129.82,"2003-11-24 00:00:00",,"05-02100        ","Countertop 72"
1105    ,,"lem5",1,"XLegacyX",129.82,129.82,"2004-01-05 00:00:00",,"05-02100        ","Countertop 72"
364     ,,"lem5",1,"XLegacyX",158.2,158.2,"2003-11-18 00:00:00",,"05-02200        ","Countertop 78"
953     ,,"lem5",1,"XLegacyX",158.2,158.2,"2003-12-17 00:00:00",,"05-02300        ","Countertop 84"
1211    ,,"lem5",1,"XLegacyX",158.2,158.2,"2004-01-12 00:00:00",,"05-02300        ","Countertop 84"
9988    ,,"gol12",1,"XLegacyX",1,1,"2008-07-18 00:00:00",,"05-02300        ","81 1/2 COUNTERTOP"
47417   ,465350  ,"gol12",1,"Canceled",1,1,"2023-03-22 00:00:00",,"05-02300        ","Countertop 84"
47071   ,463320  ,"gol12",1,"Maintenance-COGS",315,315,"2023-02-06 00:00:00","02/13/2023 00:00:00","05-02300        ","Countertop 84"
47285   ,465482  ,"gol12",1,"Maintenance-COGS",356.4,356.4,"2023-03-06 00:00:00","03/14/2023 00:00:00","05-02300        ","Countertop 84"
47813   ,468642  ,"gol12",1,"Maintenance-COGS",325,325,"2023-05-12 00:00:00","06/15/2023 00:00:00","05-02300        ","Countertop 84"
47507   ,466926  ,"gol12",1,"Maintenance-COGS",495,495,"2023-03-31 00:00:00","05/09/2023 00:00:00","05-02400        ","Countertop 96"
47386   ,466448  ,"gol12",1,"Maintenance-COGS",610,610,"2023-03-17 00:00:00","03/28/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
47029   ,462976  ,"gol12",1,"Maintenance-COGS",1038,1038,"2023-02-01 00:00:00","02/25/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
47033   ,462977  ,"gol12",1,"Maintenance-COGS",1170,1170,"2023-02-01 00:00:00","02/15/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
48255   ,473685  ,"gol12",1,"Maintenance-COGS",675,675,"2023-07-27 00:00:00","08/10/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
48451   ,,"gol12",1,"Canceled",1,1,"2023-08-24 00:00:00",,"05-02500        ","Countertop (Custom)
priced per order"
41896   ,413204  ,"gol12",1,"Alltype Expense",0.01,0.01,"2021-02-17 00:00:00",,"05-02500        ","Countertop L-shaped (Custom)
priced per order"
1197    ,,"lem5",1,"XLegacyX",254.31,254.31,"2004-01-09 00:00:00",,"05-02500        ","Countertop L-shaped"
47597   ,466683  ,"gol12",1,"Maintenance-COGS",190,190,"2023-04-14 00:00:00","04/20/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
47420   ,466622  ,"gol12",1,"Canceled",701.4,701.4,"2023-03-22 00:00:00",,"05-02500        ","Countertop (Custom)
priced per order"
47430   ,466600  ,"gol12",1,"Maintenance-COGS",415,415,"2023-03-22 00:00:00","04/05/2023 00:00:00","05-02500        ","Countertop (Custom)
priced per order"
47430   ,466600  ,"gol12",1,"Maintenance-COGS",48,48,"2023-03-22 00:00:00","04/05/2023 00:00:00","05-02530        ","Toe Kick"
47420   ,466622  ,"gol12",2,"Canceled",59.4,118.8,"2023-03-22 00:00:00",,"05-02530        ","Toe Kick"
46702   ,460467  ,"gol12",2,"Payables",48,96,"2022-12-20 00:00:00","01/06/2023 00:00:00","05-02530        ","Toe Kick"
47597   ,466683  ,"gol12",1,"Maintenance-COGS",48,48,"2023-04-14 00:00:00","04/20/2023 00:00:00","05-02530        ","Toe Kick"
47261   ,463671  ,"gol12",1,"Maintenance-COGS",48,48,"2023-03-02 00:00:00","03/15/2023 00:00:00","05-02530        ","Toe Kick"
